"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"Net_341"	"Net_341"	"1"	"0.700860163785039"	"Non-non"
"DUSP1"	"PTPN11"	"2"	"0.967699713854549"	"Non-non"
"DUSP1"	"PRKAR1A"	"3"	"0.969157800241937"	"Sig-non"
"DUSP1"	"PTK6"	"4"	"0.998369968042235"	"Sig-non"
"DUSP1"	"RASA1"	"5"	"0.998624801520626"	"Non-non"
"DUSP1"	"RALGDS"	"6"	"0.998750422315673"	"Sig-non"
"DUSP1"	"MAP3K14"	"7"	"0.998756757031718"	"Sig-non"
"DUSP1"	"RIPK1"	"8"	"0.998764470137942"	"Sig-non"
"DUSP1"	"ARF4"	"9"	"0.998842221582682"	"Sig-non"
"DUSP1"	"RAB5A"	"10"	"0.998975979387067"	"Sig-non"
"DUSP1"	"INPPL1"	"11"	"0.999125130042486"	"Sig-non"
"DUSP1"	"SOCS3"	"12"	"0.999182078840709"	"Sig-non"
"DUSP1"	"SOCS1"	"13"	"0.99929601214161"	"Sig-non"
"DUSP1"	"RGS16"	"14"	"0.99945618726344"	"Sig-non"
"DUSP1"	"GIT1"	"15"	"0.999537664048284"	"Non-non"
"DUSP1"	"NCK2"	"16"	"0.999542942966378"	"Non-non"
"DUSP1"	"NCK1"	"17"	"0.99959324197633"	"Sig-non"
"DUSP1"	"CAV2"	"18"	"0.999611925384766"	"Sig-non"
"DUSP1"	"CAV1"	"19"	"0.999686433704757"	"Sig-non"
"DUSP1"	"PTK2B"	"20"	"0.999703936719029"	"Sig-non"
"DUSP1"	"RAC1"	"21"	"0.99972597394339"	"Sig-non"
"DUSP1"	"NDUFA13"	"22"	"0.999735972005615"	"Sig-non"
"DUSP1"	"CRKL"	"23"	"0.999745428625645"	"Non-non"
"DUSP1"	"CRK"	"24"	"0.999829630935611"	"Sig-non"
"DUSP1"	"CBL"	"25"	"0.999839422980932"	"Non-non"
"DUSP1"	"SRC"	"26"	"0.999857214943573"	"Sig-non"
"DUSP1"	"PTPN6"	"27"	"0.999875885878835"	"Sig-non"
"DUSP1"	"PLCG2"	"28"	"0.999894854719117"	"Sig-non"
"DUSP1"	"PLCG1"	"29"	"0.999917875743596"	"Non-non"
"DUSP1"	"ZNF259"	"30"	"0.999924293119418"	"Sig-non"
"DUSP1"	"MCF2"	"31"	"0.999927478176786"	"Non-non"
"DUSP1"	"ARAF"	"32"	"0.999928951112521"	"Non-non"
"DUSP1"	"ITCH"	"33"	"0.999929753056225"	"Sig-non"
"DUSP1"	"CAMK2A"	"34"	"0.999931281939646"	"Non-non"
"DUSP1"	"HAT1"	"35"	"0.999931884413388"	"Sig-non"
"DUSP1"	"ELF3"	"36"	"0.999932796310282"	"Sig-non"
"DUSP1"	"PXN"	"37"	"0.999942514541803"	"Sig-non"
"DUSP1"	"FOXO1"	"38"	"0.999946336711637"	"Sig-non"
