"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"Net_187"	"Net_187"	"1"	"0.871114260221663"	"Non-non"
"FZD10"	"FZD2"	"2"	"0.955757624429324"	"Non-non"
"FZD10"	"FZD5"	"3"	"0.956541324758606"	"Sig-non"
"FZD10"	"FZD3"	"4"	"0.958133661710907"	"Sig-non"
"FZD10"	"FZD1"	"5"	"0.960960061135331"	"Sig-non"
"FZD10"	"FZD4"	"6"	"0.967206632435043"	"Sig-non"
"FZD10"	"FZD6"	"7"	"0.973251481312451"	"Non-non"
"FZD10"	"FZD7"	"8"	"0.974972999346748"	"Sig-non"
"FZD10"	"FZD9"	"9"	"0.981665297548679"	"Non-non"
"FZD10"	"EGFR"	"10"	"0.982584174728603"	"Sig-non"
"FZD10"	"IGF1R"	"11"	"0.984477240026937"	"Sig-non"
"FZD10"	"MET"	"12"	"0.985181095411318"	"Sig-non"
"FZD10"	"PDGFRA"	"13"	"0.986444451023213"	"Sig-non"
"FZD10"	"PDGFRB"	"14"	"0.987027580669437"	"Sig-non"
"FZD10"	"GRB2"	"15"	"0.989298776278599"	"Non-non"
"FZD10"	"SOS1"	"16"	"0.989561255792436"	"Sig-non"
"FZD10"	"SOS2"	"17"	"0.990110343462462"	"Sig-non"
"FZD10"	"DCC"	"18"	"0.990417910885575"	"Non-non"
"FZD10"	"CASP3"	"19"	"0.990804676841031"	"Sig-non"
"FZD10"	"TGFB1"	"20"	"0.991382950068389"	"Non-non"
"FZD10"	"TGFB2"	"21"	"0.992056930048138"	"Non-non"
"FZD10"	"TGFB3"	"22"	"0.992611305226527"	"Non-non"
"FZD10"	"DVL1"	"23"	"0.993213310785046"	"Sig-non"
"FZD10"	"DVL2"	"24"	"0.993272918377486"	"Sig-non"
"FZD10"	"DVL3"	"25"	"0.993651671429067"	"Sig-non"
"FZD10"	"PIK3R5"	"26"	"0.993727205813007"	"Non-non"
"FZD10"	"PIK3CA"	"27"	"0.993757489520409"	"Non-non"
"FZD10"	"PIK3CB"	"28"	"0.994187720924783"	"Non-non"
"FZD10"	"PIK3CD"	"29"	"0.994449903907722"	"Sig-non"
"FZD10"	"PIK3CG"	"30"	"0.994512812071119"	"Sig-non"
"FZD10"	"PIK3R1"	"31"	"0.99455756573807"	"Sig-non"
"FZD10"	"PIK3R2"	"32"	"0.994746563011195"	"Sig-non"
"FZD10"	"PIK3R3"	"33"	"0.994912206558022"	"Non-non"
"FZD10"	"CASP9"	"34"	"0.995128093941865"	"Non-non"
"FZD10"	"APPL1"	"35"	"0.995390559246035"	"Sig-non"
"FZD10"	"APC2"	"36"	"0.995400816851561"	"Non-non"
"FZD10"	"APC"	"37"	"0.995487314616126"	"Sig-non"
"FZD10"	"SMAD2"	"38"	"0.995509884190226"	"Sig-non"
"FZD10"	"SMAD3"	"39"	"0.995581902344565"	"Sig-non"
"FZD10"	"TGFBR1"	"40"	"0.995803590562274"	"Non-non"
"FZD10"	"ACVR1B"	"41"	"0.995928522613675"	"Sig-non"
"FZD10"	"SMAD4"	"42"	"0.99602546042438"	"Sig-non"
"FZD10"	"MLH1"	"43"	"0.996101385842464"	"Sig-non"
"FZD10"	"MSH2"	"44"	"0.996213642012864"	"Sig-non"
"FZD10"	"KRAS"	"45"	"0.996350525513592"	"Sig-non"
"FZD10"	"ARAF"	"46"	"0.996488053215713"	"Non-non"
"FZD10"	"RAF1"	"47"	"0.996834700673519"	"Non-non"
"FZD10"	"BRAF"	"48"	"0.996905258475795"	"Non-non"
"FZD10"	"MAPK8"	"49"	"0.996978028167154"	"Non-non"
"FZD10"	"MAPK9"	"50"	"0.996988277523979"	"Sig-non"
"FZD10"	"MAPK10"	"51"	"0.997050274037692"	"Sig-non"
"FZD10"	"AXIN1"	"52"	"0.997056478367703"	"Sig-non"
"FZD10"	"RALGDS"	"53"	"0.997092362675355"	"Sig-non"
"FZD10"	"RAC1"	"54"	"0.99711735306984"	"Sig-non"
"FZD10"	"RAC2"	"55"	"0.997155548723118"	"Non-non"
"FZD10"	"RAC3"	"56"	"0.997165669246303"	"Sig-non"
