"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"Net_272"	"Net_272"	"1"	"0.645630259260855"	"Non-non"
"ITGA1"	"ITGA7"	"2"	"0.981735442917904"	"Sig-non"
"ITGA1"	"VASP"	"3"	"0.984014072029702"	"Non-non"
"ITGA1"	"PAK1"	"4"	"0.990480529149551"	"Sig-non"
"ITGA1"	"ILK"	"5"	"0.993992259380349"	"Sig-non"
"ITGA1"	"PXN"	"6"	"0.994294657103377"	"Sig-non"
"ITGA1"	"MAPK10"	"7"	"0.995903840854829"	"Sig-non"
"ITGA1"	"TNS1"	"8"	"0.997370911123856"	"Sig-non"
"ITGA1"	"VCL"	"9"	"0.998264369251074"	"Sig-non"
"ITGA1"	"ITGB8"	"10"	"0.99832482063511"	"Sig-non"
"ITGA1"	"ITGB7"	"11"	"0.998560927346394"	"Sig-non"
"ITGA1"	"ITGB6"	"12"	"0.998591537316176"	"Non-non"
"ITGA1"	"ITGB5"	"13"	"0.998674426195432"	"Non-non"
"ITGA1"	"ITGB4"	"14"	"0.999299070089826"	"Sig-non"
"ITGA1"	"ITGB3"	"15"	"0.999488534185132"	"Sig-non"
"ITGA1"	"ITGB2"	"16"	"0.999518847395284"	"Sig-non"
"ITGA1"	"ITGB1"	"17"	"0.999555032592993"	"Sig-non"
"ITGA1"	"ITGAX"	"18"	"0.999574069632621"	"Sig-non"
"ITGA1"	"ITGAV"	"19"	"0.999603963695559"	"Sig-non"
"ITGA1"	"ITGAM"	"20"	"0.999607872718402"	"Sig-non"
"ITGA1"	"ITGAE"	"21"	"0.999625856278852"	"Non-non"
"ITGA1"	"ITGA2B"	"22"	"0.999647030255569"	"Sig-non"
"ITGA1"	"ITGA10"	"23"	"0.999803120706703"	"Sig-non"
"ITGA1"	"ITGA9"	"24"	"0.999808890533263"	"Non-non"
"ITGA1"	"ITGA8"	"25"	"0.999824875298948"	"Sig-non"
"ITGA1"	"ITGA6"	"26"	"0.999825452420741"	"Sig-non"
"ITGA1"	"ITGA5"	"27"	"0.999849368743222"	"Sig-non"
"ITGA1"	"ITGA4"	"28"	"0.999851088289821"	"Non-non"
"ITGA1"	"ITGA3"	"29"	"0.999860794236541"	"Non-non"
"ITGA1"	"ITGA2"	"30"	"0.999864238739906"	"Sig-non"
"ITGA1"	"CAPN1"	"31"	"0.999866084497019"	"Sig-non"
"ITGA1"	"MAP2K2"	"32"	"0.999871366423768"	"Sig-non"
"ITGA1"	"MAP2K1"	"33"	"0.999884822008089"	"Non-non"
"ITGA1"	"MAPK6"	"34"	"0.999896088011818"	"Sig-non"
"ITGA1"	"MAPK1"	"35"	"0.999902558946342"	"Sig-non"
"ITGA1"	"RAP1B"	"36"	"0.999925283397803"	"Non-non"
"ITGA1"	"RAP1A"	"37"	"0.999926071221556"	"Sig-non"
"ITGA1"	"RAPGEF1"	"38"	"0.999928432655696"	"Non-non"
"ITGA1"	"CRK"	"39"	"0.999941478239946"	"Sig-non"
"ITGA1"	"DOCK1"	"40"	"0.999943307641355"	"Non-non"
"ITGA1"	"AKT3"	"41"	"0.999948800365991"	"Sig-non"
"ITGA1"	"MAP2K6"	"42"	"0.999950894131738"	"Sig-non"
"ITGA1"	"MAP2K5"	"43"	"0.999951217626116"	"Sig-non"
"ITGA1"	"MAP2K3"	"44"	"0.999953359833322"	"Sig-non"
"ITGA1"	"TLN1"	"45"	"0.999955979183491"	"Sig-non"
"ITGA1"	"PAK6"	"46"	"0.999956829837917"	"Sig-non"
"ITGA1"	"PAK4"	"47"	"0.999960889860658"	"Non-non"
"ITGA1"	"PAK2"	"48"	"0.999961971134192"	"Sig-non"
"ITGA1"	"CAPN6"	"49"	"0.999963150568832"	"Non-non"
"ITGA1"	"CAPN11"	"50"	"0.999968880050747"	"Non-non"
"ITGA1"	"CAPN10"	"51"	"0.999972103924786"	"Sig-non"
"ITGA1"	"CAPN9"	"52"	"0.999973412216688"	"Sig-non"
"ITGA1"	"CAPN7"	"53"	"0.999975178116538"	"Sig-non"
"ITGA1"	"CAPN5"	"54"	"0.99997613501042"	"Sig-non"
"ITGA1"	"CAPN3"	"55"	"0.999978753913371"	"Sig-non"
"ITGA1"	"CAPN2"	"56"	"0.999980260986955"	"Sig-non"
"ITGA1"	"AKT2"	"57"	"0.999981954016688"	"Sig-non"
"ITGA1"	"AKT1"	"58"	"0.999983608707207"	"Non-non"
"ITGA1"	"SRC"	"59"	"0.999984514780811"	"Sig-non"
"ITGA1"	"CSK"	"60"	"0.999985094786658"	"Non-non"
"ITGA1"	"RHO"	"61"	"0.999985110837633"	"Non-non"
"ITGA1"	"PTK2"	"62"	"0.999985255593337"	"Non-non"
"ITGA1"	"HRAS"	"63"	"0.999985682601118"	"Non-non"
"ITGA1"	"SEPP1"	"64"	"0.99998682781704"	"Sig-non"
"ITGA1"	"GRB2"	"65"	"0.999987144840929"	"Non-non"
"ITGA1"	"FYN"	"66"	"0.999989130077688"	"Sig-non"
"ITGA1"	"CAV3"	"67"	"0.999989341722676"	"Sig-non"
"ITGA1"	"CAV2"	"68"	"0.999989601963251"	"Sig-non"
"ITGA1"	"CAV1"	"69"	"0.99999000894719"	"Sig-non"
"ITGA1"	"ZYX"	"70"	"0.999990095657137"	"Sig-non"
"ITGA1"	"PIK3R2"	"71"	"0.999991302580164"	"Sig-non"
"ITGA1"	"GIT2"	"72"	"0.999991520048312"	"Non-non"
"ITGA1"	"SOS1"	"73"	"0.999991734533432"	"Sig-non"
"ITGA1"	"SORBS1"	"74"	"0.999992661765198"	"Sig-non"
"ITGA1"	"ROCK1"	"75"	"0.999992717769349"	"Sig-non"
"ITGA1"	"ROCK2"	"76"	"0.999992731642409"	"Sig-non"
"ITGA1"	"VAV3"	"77"	"0.999993105847139"	"Non-non"
"ITGA1"	"VAV2"	"78"	"0.999993612339928"	"Non-non"
"ITGA1"	"PDPK1"	"79"	"0.999993805061773"	"Non-non"
"ITGA1"	"RAC3"	"80"	"0.999993842408412"	"Sig-non"
"ITGA1"	"RAC2"	"81"	"0.999994109111021"	"Non-non"
"ITGA1"	"RAC1"	"82"	"0.999994218080705"	"Sig-non"
"ITGA1"	"ARHGEF7"	"83"	"0.99999458347955"	"Sig-non"
"ITGA1"	"CAPNS1"	"84"	"0.999994736316382"	"Sig-non"
"ITGA1"	"MAPK7"	"85"	"0.999994985031933"	"Sig-non"
"ITGA1"	"MAPK4"	"86"	"0.999995068630215"	"Non-non"
"ITGA1"	"RAF1"	"87"	"0.999995538328605"	"Non-non"
"ITGA1"	"BRAF"	"88"	"0.999995816033639"	"Non-non"
"ITGA1"	"ARAF"	"89"	"0.999995875058618"	"Non-non"
"ITGA1"	"SHC3"	"90"	"0.999996173248871"	"Sig-non"
"ITGA1"	"SHC1"	"91"	"0.999996441876227"	"Sig-non"
"ITGA1"	"CDC42"	"92"	"0.999996593005602"	"Sig-non"
"ITGA7"	"VASP"	"93"	"0.999996614893576"	"Sig-non"
"ITGA7"	"PAK1"	"94"	"0.999997044093226"	"Sig-sig"
"ITGA7"	"ILK"	"95"	"0.999997069638981"	"Sig-sig"
"ITGA7"	"PXN"	"96"	"0.999997174699105"	"Sig-sig"
"ITGA7"	"MAPK10"	"97"	"0.999997190029195"	"Sig-sig"
"ITGA7"	"TNS1"	"98"	"0.999997354918296"	"Sig-sig"
"ITGA7"	"VCL"	"99"	"0.99999745092709"	"Sig-sig"
"ITGA7"	"ITGB8"	"100"	"0.999997455533274"	"Sig-sig"
"ITGA7"	"ITGB7"	"101"	"0.999997464632458"	"Sig-sig"
"ITGA7"	"ITGB6"	"102"	"0.999997573873135"	"Sig-non"
"ITGA7"	"ITGB5"	"103"	"0.999997662047807"	"Sig-non"
"ITGA7"	"ITGB4"	"104"	"0.999997673645051"	"Sig-sig"
"ITGA7"	"ITGB3"	"105"	"0.99999769770835"	"Sig-sig"
"ITGA7"	"ITGB2"	"106"	"0.999997707918105"	"Sig-sig"
"ITGA7"	"ITGB1"	"107"	"0.999997729906396"	"Sig-sig"
"ITGA7"	"ITGAX"	"108"	"0.99999773773566"	"Sig-sig"
"ITGA7"	"ITGAV"	"109"	"0.999997769089264"	"Sig-sig"
"ITGA7"	"ITGAM"	"110"	"0.999997854266363"	"Sig-sig"
"ITGA7"	"ITGAE"	"111"	"0.999997901418219"	"Sig-non"
"ITGA7"	"ITGA2B"	"112"	"0.999998192211251"	"Sig-sig"
"ITGA7"	"ITGA10"	"113"	"0.999998218888551"	"Sig-sig"
"ITGA7"	"ITGA9"	"114"	"0.99999825482335"	"Sig-non"
"ITGA7"	"ITGA8"	"115"	"0.99999833943315"	"Sig-sig"
"ITGA7"	"ITGA6"	"116"	"0.999998422971994"	"Sig-sig"
"ITGA7"	"ITGA5"	"117"	"0.99999848380281"	"Sig-sig"
"ITGA7"	"ITGA4"	"118"	"0.999998630146151"	"Sig-non"
"ITGA7"	"ITGA3"	"119"	"0.999998680159407"	"Sig-non"
"ITGA7"	"ITGA2"	"120"	"0.999998687667241"	"Sig-sig"
"ITGA7"	"CAPN1"	"121"	"0.999998901315383"	"Sig-sig"
"ITGA7"	"MAP2K2"	"122"	"0.999998919902215"	"Sig-sig"
"ITGA7"	"MAP2K1"	"123"	"0.999999053680278"	"Sig-non"
"ITGA7"	"MAPK6"	"124"	"0.999999071407588"	"Sig-sig"
"ITGA7"	"MAPK1"	"125"	"0.999999085546279"	"Sig-sig"
"ITGA7"	"RAP1B"	"126"	"0.9999991136945"	"Sig-non"
"ITGA7"	"RAP1A"	"127"	"0.999999128469575"	"Sig-sig"
"ITGA7"	"RAPGEF1"	"128"	"0.999999140708901"	"Sig-non"
"ITGA7"	"CRK"	"129"	"0.99999921122026"	"Sig-sig"
"ITGA7"	"DOCK1"	"130"	"0.999999223819818"	"Sig-non"
"ITGA7"	"AKT3"	"131"	"0.999999227764207"	"Sig-sig"
"ITGA7"	"MAP2K6"	"132"	"0.999999301236124"	"Sig-sig"
"ITGA7"	"MAP2K5"	"133"	"0.999999323360285"	"Sig-sig"
"ITGA7"	"MAP2K3"	"134"	"0.999999323484184"	"Sig-sig"
"ITGA7"	"TLN1"	"135"	"0.999999328073375"	"Sig-sig"
"ITGA7"	"PAK6"	"136"	"0.999999332637252"	"Sig-sig"
"ITGA7"	"PAK4"	"137"	"0.999999348153077"	"Sig-non"
"ITGA7"	"PAK2"	"138"	"0.99999934990602"	"Sig-sig"
"ITGA7"	"CAPN6"	"139"	"0.999999351843329"	"Sig-non"
"ITGA7"	"CAPN11"	"140"	"0.999999366826955"	"Sig-non"
"ITGA7"	"CAPN10"	"141"	"0.999999372923417"	"Sig-sig"
"ITGA7"	"CAPN9"	"142"	"0.999999404678045"	"Sig-sig"
"ITGA7"	"CAPN7"	"143"	"0.999999415877915"	"Sig-sig"
"ITGA7"	"CAPN5"	"144"	"0.999999430892497"	"Sig-sig"
"ITGA7"	"CAPN3"	"145"	"0.999999439654229"	"Sig-sig"
