"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"Net_238"	"Net_238"	"1"	"0.924851926439548"	"Non-non"
"FASLG"	"TNFRSF1A"	"2"	"0.952115353023823"	"Sig-non"
"FASLG"	"TNFRSF1B"	"3"	"0.953571428657077"	"Sig-non"
"FASLG"	"FAS"	"4"	"0.953798962573517"	"Sig-non"
"FASLG"	"TNF"	"5"	"0.957038167843619"	"Sig-non"
"FASLG"	"TRADD"	"6"	"0.95715109781624"	"Sig-non"
"FASLG"	"TRAF2"	"7"	"0.964271666628375"	"Sig-non"
"FASLG"	"DAXX"	"8"	"0.967798876941605"	"Non-non"
"FASLG"	"MAP3K5"	"9"	"0.969361397123902"	"Non-non"
"FASLG"	"MAP2K4"	"10"	"0.971176610406675"	"Sig-non"
"FASLG"	"TGFBR1"	"11"	"0.972953485363803"	"Non-non"
"FASLG"	"MAP4K1"	"12"	"0.973052028960143"	"Non-non"
"FASLG"	"TGFBR2"	"13"	"0.977017400453128"	"Sig-non"
"FASLG"	"MAP3K7"	"14"	"0.977784075296638"	"Sig-non"
"FASLG"	"IL18"	"15"	"0.978228650449385"	"Non-non"
"FASLG"	"IL1R1"	"16"	"0.979574145596566"	"Sig-non"
"FASLG"	"IL1R2"	"17"	"0.979675240503732"	"Sig-non"
"FASLG"	"IL1A"	"18"	"0.979869673907766"	"Sig-non"
"FASLG"	"IL1B"	"19"	"0.981882334852437"	"Sig-non"
"FASLG"	"IL1F5"	"20"	"0.98199892539082"	"Sig-non"
"FASLG"	"IL1F6"	"21"	"0.982909687748205"	"Non-non"
"FASLG"	"IL1F7"	"22"	"0.982977002890231"	"Sig-non"
"FASLG"	"IL1F9"	"23"	"0.983193805739575"	"Sig-non"
"FASLG"	"IL1RN"	"24"	"0.983508685146891"	"Non-non"
"FASLG"	"IRAK1"	"25"	"0.983644282113898"	"Sig-non"
"FASLG"	"IRAK3"	"26"	"0.983737643233015"	"Sig-non"
"FASLG"	"IRAK4"	"27"	"0.985549836270517"	"Sig-non"
"FASLG"	"TRAF6"	"28"	"0.9858970294179"	"Sig-non"
"FASLG"	"MAP3K7IP2"	"29"	"0.986310338995995"	"Non-non"
"FASLG"	"MAP2K3"	"30"	"0.986340707434634"	"Sig-non"
"FASLG"	"MAP2K6"	"31"	"0.986635423330805"	"Sig-non"
"FASLG"	"RPS6KA4"	"32"	"0.987156728694573"	"Sig-non"
"FASLG"	"ATF2"	"33"	"0.98734623270227"	"Sig-non"
"FASLG"	"ATF4"	"34"	"0.987439786157011"	"Sig-non"
"FASLG"	"CREB1"	"35"	"0.98797334877299"	"Sig-non"
"FASLG"	"CREB3"	"36"	"0.988179594923156"	"Sig-non"
"FASLG"	"CREB5"	"37"	"0.988494415829664"	"Sig-non"
"FASLG"	"RPS6KA5"	"38"	"0.988497934490237"	"Sig-non"
"FASLG"	"HMGN1"	"39"	"0.98910180467173"	"Sig-non"
"FASLG"	"H3F3B"	"40"	"0.989484950368461"	"Sig-non"
"FASLG"	"HIST3H3"	"41"	"0.989900904582124"	"Non-non"
"FASLG"	"ATF1"	"42"	"0.990086854318133"	"Sig-non"
"FASLG"	"MAPKAPK2"	"43"	"0.990184447003603"	"Sig-non"
"FASLG"	"SRF"	"44"	"0.990321286444804"	"Sig-non"
"FASLG"	"MAPKAPK3"	"45"	"0.990459627093771"	"Non-non"
"TNFRSF1A"	"TNFRSF1B"	"46"	"0.990677437445843"	"Sig-sig"
"TNFRSF1A"	"FAS"	"47"	"0.990862336376327"	"Sig-sig"
"TNFRSF1A"	"TNF"	"48"	"0.991030043674472"	"Sig-sig"
"TNFRSF1A"	"TRADD"	"49"	"0.991211639974397"	"Sig-sig"
"TNFRSF1A"	"TRAF2"	"50"	"0.99126069585773"	"Sig-sig"
"TNFRSF1A"	"DAXX"	"51"	"0.991548276967511"	"Sig-non"
"TNFRSF1A"	"MAP3K5"	"52"	"0.991768515897926"	"Sig-non"
"TNFRSF1A"	"MAP2K4"	"53"	"0.991848201388974"	"Sig-sig"
"TNFRSF1A"	"TGFBR1"	"54"	"0.991882105449253"	"Sig-non"
"TNFRSF1A"	"MAP4K1"	"55"	"0.99204684940618"	"Sig-non"
"TNFRSF1A"	"TGFBR2"	"56"	"0.992073928322318"	"Sig-sig"
