"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"Net_352"	"Net_352"	"1"	"0.846043446414476"	"Non-non"
"SH2B2"	"MAP2K7"	"2"	"0.907963128976778"	"Sig-non"
"SH2B2"	"SHC2"	"3"	"0.908533586557295"	"Non-non"
"SH2B2"	"IRS2"	"4"	"0.909614246944148"	"Sig-non"
"SH2B2"	"RAC2"	"5"	"0.916053169807752"	"Non-non"
"SH2B2"	"RAC1"	"6"	"0.919351243606276"	"Sig-non"
"SH2B2"	"XBP1"	"7"	"0.922280834762116"	"Sig-non"
"SH2B2"	"IKBKB"	"8"	"0.928340133229794"	"Non-non"
"SH2B2"	"PRKAA2"	"9"	"0.938280024892775"	"Sig-non"
"SH2B2"	"PRKAA1"	"10"	"0.940798911256004"	"Sig-non"
"SH2B2"	"SOCS3"	"11"	"0.94254046619703"	"Sig-non"
"SH2B2"	"SOCS1"	"12"	"0.943567914069441"	"Sig-non"
"SH2B2"	"STX4"	"13"	"0.945753436010958"	"Non-non"
"SH2B2"	"STXBP3"	"14"	"0.947570071875745"	"Non-non"
"SH2B2"	"STXBP2"	"15"	"0.95135437477296"	"Non-non"
"SH2B2"	"STXBP1"	"16"	"0.95142077912248"	"Sig-non"
"SH2B2"	"GRB14"	"17"	"0.952431199461813"	"Sig-non"
"SH2B2"	"SRF"	"18"	"0.953601892443206"	"Sig-non"
"SH2B2"	"ELK1"	"19"	"0.954179151907191"	"Sig-non"
"SH2B2"	"TBC1D4"	"20"	"0.954307307501807"	"Sig-non"
"SH2B2"	"FOXO3"	"21"	"0.954533537525574"	"Sig-non"
"SH2B2"	"SGK3"	"22"	"0.955168537823344"	"Sig-non"
"SH2B2"	"SGK2"	"23"	"0.955570604976617"	"Sig-non"
"SH2B2"	"SGK1"	"24"	"0.956246973450874"	"Sig-non"
"SH2B2"	"KIF3A"	"25"	"0.958223857724301"	"Non-non"
"SH2B2"	"KIF5B"	"26"	"0.959934773682903"	"Sig-non"
"SH2B2"	"MYO1C"	"27"	"0.960640796276312"	"Sig-non"
"SH2B2"	"EHD2"	"28"	"0.961803712516897"	"Sig-non"
"SH2B2"	"EHD1"	"29"	"0.963520084712387"	"Sig-non"
"SH2B2"	"SNAP23"	"30"	"0.965495147328898"	"Sig-non"
"SH2B2"	"SNAP25"	"31"	"0.967574268531283"	"Non-non"
"SH2B2"	"VAMP2"	"32"	"0.968384971788829"	"Sig-non"
"SH2B2"	"RAB4A"	"33"	"0.968527115213233"	"Non-non"
"SH2B2"	"RHEB"	"34"	"0.970143788580165"	"Sig-non"
"SH2B2"	"TSC1"	"35"	"0.970198224039821"	"Sig-non"
"SH2B2"	"PFKL"	"36"	"0.9704485250725"	"Sig-non"
"SH2B2"	"GYG1"	"37"	"0.970856981140091"	"Non-non"
"SH2B2"	"ENPP1"	"38"	"0.970894738586264"	"Sig-non"
"SH2B2"	"PRKCD"	"39"	"0.972039453753368"	"Sig-non"
"SH2B2"	"PRKCH"	"40"	"0.972073926432145"	"Sig-non"
"SH2B2"	"PRKCQ"	"41"	"0.972226921792505"	"Sig-non"
"SH2B2"	"PRKCB1"	"42"	"0.972417733070579"	"Sig-non"
"SH2B2"	"PRKCA"	"43"	"0.973866782795229"	"Sig-non"
"SH2B2"	"INPPL1"	"44"	"0.974399776134369"	"Sig-non"
"SH2B2"	"RRAD"	"45"	"0.9753349396473"	"Sig-non"
"SH2B2"	"HRAS"	"46"	"0.976475133897456"	"Non-non"
"SH2B2"	"SHC3"	"47"	"0.976540079134352"	"Sig-non"
"SH2B2"	"GRB10"	"48"	"0.976826251172574"	"Sig-non"
"SH2B2"	"SLC2A1"	"49"	"0.976913551482432"	"Sig-non"
"SH2B2"	"JUN"	"50"	"0.977047152503696"	"Sig-non"
"SH2B2"	"FOS"	"51"	"0.977077123556923"	"Sig-non"
"SH2B2"	"EGR1"	"52"	"0.979187249390778"	"Sig-non"
"SH2B2"	"GYS2"	"53"	"0.97919244029747"	"Non-non"
"SH2B2"	"LIPE"	"54"	"0.97919925514636"	"Non-non"
"SH2B2"	"EIF4EBP1"	"55"	"0.979350745714414"	"Sig-non"
"SH2B2"	"EIF4E"	"56"	"0.979792656267949"	"Sig-non"
"SH2B2"	"FRAP1"	"57"	"0.979917768228322"	"Sig-non"
"SH2B2"	"PTPN1"	"58"	"0.980329647775469"	"Sig-non"
"SH2B2"	"FLOT2"	"59"	"0.98056175896167"	"Non-non"
"SH2B2"	"FLOT1"	"60"	"0.980607025451658"	"Sig-non"
"SH2B2"	"CRK"	"61"	"0.980832192863362"	"Sig-non"
"SH2B2"	"RHOQ"	"62"	"0.980885746275715"	"Sig-non"
"SH2B2"	"SNX26"	"63"	"0.980975065366947"	"Sig-non"
"SH2B2"	"SORBS1"	"64"	"0.981225091239352"	"Sig-non"
"SH2B2"	"CAP1"	"65"	"0.98127791478381"	"Non-non"
"SH2B2"	"RAPGEF1"	"66"	"0.981467387244915"	"Non-non"
"SH2B2"	"CBLC"	"67"	"0.981472650910049"	"Sig-non"
"SH2B2"	"CBLB"	"68"	"0.981517474487258"	"Sig-non"
"SH2B2"	"CBL"	"69"	"0.981626491826024"	"Non-non"
"SH2B2"	"PTPRF"	"70"	"0.981662362282066"	"Sig-non"
"SH2B2"	"PPP1R3A"	"71"	"0.981711822875466"	"Non-non"
"SH2B2"	"RPS6KA4"	"72"	"0.981718859380619"	"Sig-non"
"SH2B2"	"RPS6KA6"	"73"	"0.981724971850108"	"Sig-non"
"SH2B2"	"RPS6KA5"	"74"	"0.981992580766583"	"Sig-non"
"SH2B2"	"RPS6KA1"	"75"	"0.982042845831884"	"Sig-non"
"SH2B2"	"RPS6KB2"	"76"	"0.982126007509469"	"Sig-non"
"SH2B2"	"RPS6KA3"	"77"	"0.982193294203906"	"Sig-non"
"SH2B2"	"RPS6KA2"	"78"	"0.982317992047028"	"Sig-non"
