"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"Net_322"	"Net_322"	"1"	"0.699224393884775"	"Non-non"
"IL1A"	"IL1B"	"2"	"0.850096506051754"	"Sig-non"
"IL1A"	"FASLG"	"3"	"0.890413767361522"	"Sig-non"
"IL1A"	"TGFB3"	"4"	"0.894629073821347"	"Non-non"
"IL1A"	"TGFB1"	"5"	"0.899713009400868"	"Non-non"
"IL1A"	"TGFB2"	"6"	"0.903756368934867"	"Non-non"
"IL1A"	"DAXX"	"7"	"0.904892143127733"	"Non-non"
"IL1A"	"MAP3K5"	"8"	"0.906588802742403"	"Non-non"
"IL1A"	"MAP3K7"	"9"	"0.917141238194747"	"Sig-non"
"IL1A"	"MAP3K4"	"10"	"0.917971454528891"	"Sig-non"
"IL1A"	"TAOK1"	"11"	"0.925946982705133"	"Sig-non"
"IL1A"	"MAPK14"	"12"	"0.928332535453092"	"Sig-non"
"IL1A"	"MAPKAPK2"	"13"	"0.935127366141084"	"Sig-non"
"IL1A"	"NR4A1"	"14"	"0.942648427108225"	"Sig-non"
"IL1A"	"CDC25B"	"15"	"0.945460942537537"	"Non-non"
"IL1A"	"HSPB1"	"16"	"0.945881114503328"	"Sig-non"
"IL1A"	"HSPB2"	"17"	"0.948098710101684"	"Sig-non"
"IL1A"	"MEF2C"	"18"	"0.950228633345871"	"Sig-non"
"IL1A"	"MAX"	"19"	"0.954682035637961"	"Sig-non"
"IL1A"	"DDIT3"	"20"	"0.956024519016197"	"Non-non"
"IL1A"	"MAPK13"	"21"	"0.956724573033063"	"Sig-non"
"IL1A"	"TRAF2"	"22"	"0.956976580496559"	"Sig-non"
"IL1A"	"CASP1"	"23"	"0.957678582572695"	"Sig-non"
"IL1A"	"CASP3"	"24"	"0.957841793281964"	"Sig-non"
"IL1A"	"CASP9"	"25"	"0.95965060795619"	"Non-non"
"IL1A"	"CASP7"	"26"	"0.960964164715654"	"Sig-non"
"IL1A"	"CASP8"	"27"	"0.96168067946618"	"Sig-non"
"IL1A"	"CASP2"	"28"	"0.962371527800211"	"Non-non"
"IL1A"	"CASP6"	"29"	"0.963952778274203"	"Sig-non"
"IL1A"	"CDC42"	"30"	"0.96531518155564"	"Sig-non"
"IL1A"	"RAC1"	"31"	"0.967476857261533"	"Sig-non"
"IL1A"	"RAC2"	"32"	"0.968078953537639"	"Non-non"
"IL1A"	"MAP3K8"	"33"	"0.968104963569317"	"Sig-non"
"IL1A"	"PAK1"	"34"	"0.969065435342023"	"Sig-non"
"IL1A"	"PAK2"	"35"	"0.970102701031264"	"Sig-non"
"IL1A"	"MINK1"	"36"	"0.970542983955471"	"Non-non"
"IL1A"	"STK3"	"37"	"0.970553678917405"	"Sig-non"
"IL1A"	"AKT3"	"38"	"0.971364311955655"	"Sig-non"
