"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"Net_353"	"Net_353"	"1"	"0.879087386226363"	"Non-non"
"STAT1"	"STAT3"	"2"	"0.889456278041919"	"Sig-non"
"STAT1"	"EIF3B"	"3"	"0.893932278962427"	"Sig-non"
"STAT1"	"CHUK"	"4"	"0.903919093026047"	"Non-non"
"STAT1"	"MAPK9"	"5"	"0.905859277999921"	"Sig-non"
"STAT1"	"MAPKAPK2"	"6"	"0.926928198326972"	"Sig-non"
"STAT1"	"MAPK14"	"7"	"0.933815033217514"	"Sig-non"
"STAT1"	"MAPK8"	"8"	"0.938087919938543"	"Non-non"
"STAT1"	"KRAS"	"9"	"0.939728439869987"	"Sig-non"
"STAT1"	"YBX1"	"10"	"0.940425595450805"	"Non-non"
"STAT1"	"RELA"	"11"	"0.941483848473734"	"Non-non"
"STAT1"	"NFKB1"	"12"	"0.944026445665815"	"Sig-non"
"STAT1"	"STAT5B"	"13"	"0.947997976500995"	"Sig-non"
"STAT1"	"STAT5A"	"14"	"0.948537888754427"	"Sig-non"
"STAT1"	"VAV1"	"15"	"0.948644897785046"	"Non-non"
"STAT1"	"MAP2K2"	"16"	"0.949131602085676"	"Sig-non"
"STAT1"	"MAP2K1"	"17"	"0.949574545619691"	"Non-non"
"STAT1"	"CREB1"	"18"	"0.950277764707154"	"Sig-non"
"STAT1"	"EIF4E"	"19"	"0.951197974954271"	"Sig-non"
"STAT1"	"MKNK1"	"20"	"0.952020867403042"	"Sig-non"
"STAT1"	"HSP90AA1"	"21"	"0.953431549763997"	"Sig-non"
"STAT1"	"FRAP1"	"22"	"0.953571017456086"	"Sig-non"
"STAT1"	"IFNA1"	"23"	"0.954784265161449"	"Sig-non"
"STAT1"	"BCL2"	"24"	"0.9548781979557"	"Sig-non"
"STAT1"	"ITM2B"	"25"	"0.95645536664548"	"Sig-non"
"STAT1"	"PRKCZ"	"26"	"0.957149484160369"	"Sig-non"
"STAT1"	"NR3C1"	"27"	"0.958406683265084"	"Sig-non"
"STAT1"	"ETS2"	"28"	"0.961413736669481"	"Sig-non"
"STAT1"	"ETS1"	"29"	"0.961996482383738"	"Non-non"
"STAT1"	"NMI"	"30"	"0.962377281319189"	"Sig-non"
"STAT1"	"CRK"	"31"	"0.965806607999359"	"Sig-non"
"STAT1"	"SHB"	"32"	"0.966117450308685"	"Non-non"
"STAT1"	"CBL"	"33"	"0.966164179774077"	"Non-non"
"STAT1"	"CRKL"	"34"	"0.967108536866759"	"Non-non"
"STAT1"	"GNB2L1"	"35"	"0.967785375443658"	"Sig-non"
"STAT1"	"SOCS1"	"36"	"0.968600209687228"	"Sig-non"
"STAT1"	"SOS1"	"37"	"0.969638418101672"	"Sig-non"
"STAT1"	"ICAM1"	"38"	"0.970762824204923"	"Sig-non"
"STAT1"	"CD53"	"39"	"0.970828664194953"	"Sig-non"
"STAT1"	"PTK2B"	"40"	"0.971016450643201"	"Sig-non"
"STAT1"	"GRB2"	"41"	"0.97316376674381"	"Non-non"
"STAT1"	"RAF1"	"42"	"0.973907703607149"	"Non-non"
"STAT1"	"SHC1"	"43"	"0.974232241521036"	"Sig-non"
"STAT1"	"PTPN11"	"44"	"0.976056299310458"	"Non-non"
"STAT1"	"LYN"	"45"	"0.976335863425316"	"Sig-non"
"STAT1"	"TERT"	"46"	"0.976454662399459"	"Non-non"
"STAT1"	"FOXO3"	"47"	"0.976486662663497"	"Sig-non"
"STAT1"	"AKT1"	"48"	"0.977167935426128"	"Non-non"
"STAT1"	"FYN"	"49"	"0.977918979685771"	"Sig-non"
"STAT1"	"PIK3CG"	"50"	"0.977996792200703"	"Sig-non"
"STAT1"	"PIK3CD"	"51"	"0.978285583031479"	"Sig-non"
"STAT1"	"PIK3CB"	"52"	"0.978392778693656"	"Non-non"
"STAT1"	"PIK3CA"	"53"	"0.979035262278512"	"Non-non"
"STAT1"	"RPS6KB1"	"54"	"0.979268224901602"	"Sig-non"
"STAT1"	"PLCB1"	"55"	"0.979281514441293"	"Non-non"
"STAT1"	"SOCS3"	"56"	"0.979593103897656"	"Sig-non"
"STAT1"	"STAM"	"57"	"0.97980368289239"	"Non-non"
"STAT1"	"STAM2"	"58"	"0.98056517713355"	"Sig-non"
"STAT1"	"IRS2"	"59"	"0.980628463789587"	"Sig-non"
"STAT1"	"IRS1"	"60"	"0.980782236499775"	"Sig-non"
"STAT1"	"SYK"	"61"	"0.981114255166428"	"Sig-non"
"STAT1"	"GAB2"	"62"	"0.981578183637144"	"Sig-non"
"STAT1"	"MAPK3"	"63"	"0.981663855190418"	"Sig-non"
"STAT1"	"MAPK1"	"64"	"0.981685919009245"	"Sig-non"
"STAT1"	"PTPN6"	"65"	"0.981760011698282"	"Sig-non"
"STAT1"	"PIK3R2"	"66"	"0.981905530912885"	"Sig-non"
"STAT1"	"PIK3R1"	"67"	"0.982539565121768"	"Sig-non"
"STAT1"	"LCK"	"68"	"0.982581945746214"	"Non-non"
"STAT1"	"JAK2"	"69"	"0.982990942159985"	"Sig-non"
