Net_40	Net_40	Net_40
INDO	CYP1A1	0.999999999872212
INDO	CYP1A2	0.999999999193688
INDO	CYP1B1	0.999997916036764
INDO	ASMT	0.999999999989615
INDO	WBSCR22	0.999999999710693
INDO	HEMK1	0.999999999975972
INDO	LCMT1	0.999999999081776
INDO	METTL2B	0.999999992218846
INDO	LCMT2	0.999999996584505
INDO	AANAT	0.999999999923978
INDO	MAOA	0.999997389921986
INDO	MAOB	0.999999944479316
INDO	DDC	0.999999992676648
INDO	ACAT1	0.999999990932603
INDO	ACAT2	0.99999999998729
INDO	EHHADH	0.99999999973609
INDO	HSD17B10	0.999999998550464
INDO	HADH	0.999999992815414
INDO	HSD17B4	0.999999913833984
INDO	ECHS1	0.999999999761632
INDO	HADHA	0.999999999195818
INDO	GCDH	0.999999999999042
INDO	OGDH	0.99999987592138
INDO	OGDHL	0.999999956462728
INDO	HAAO	0.999999999997344
INDO	KYNU	0.99999999761554
INDO	KMO	0.999999153432212
INDO	TDO2	0.999999942671975
INDO	WARS2	0.999999999976978
INDO	WARS	0.999420415436372
INDO	CAT	0.999999772008268
INDO	ALDH2	0.999999932517102
INDO	ALDH3A1	0.999997004077772
INDO	ALDH1B1	0.999999970841882
INDO	ALDH1A3	0.999999995929686
INDO	ALDH9A1	0.999999997512157
INDO	ALDH3A2	0.999994324389707
INDO	ALDH7A1	0.999999962378458
INDO	AOX1	0.999999992620592
INDO	NFX1	0.999999994794296
INDO	ABP1	0.99999999970698
CYP1A1	CYP1A2	0.993197437293006
CYP1A1	CYP1B1	0.999999932763367
CYP1A1	ASMT	0.999998946173913
CYP1A1	WBSCR22	0.999996360576695
CYP1A1	HEMK1	0.999997548029549
CYP1A1	LCMT1	0.999999042028808
CYP1A1	METTL2B	0.999999888148816
CYP1A1	LCMT2	0.999999994646852
CYP1A1	AANAT	0.99999893473264
CYP1A1	MAOA	0.999999824381473
CYP1A1	MAOB	0.999999990557042
CYP1A1	DDC	0.999999999891234
CYP1A1	ACAT1	0.999999999968289
