Net_252	Net_252	Net_252
CCDC6	GCLM	0.999999999999873
CCDC6	GGT5	1
CCDC6	GSTM2	0.999999999996794
CCDC6	GSTT2	1
CCDC6	GSTT1	1
CCDC6	GSTM1	0.99999999999944
CCDC6	GSTA1	1
CCDC6	GPX4	1
CCDC6	GPX2	1
CCDC6	GPX1	1
CCDC6	OPLAH	1
CCDC6	GCLC	0.999999999999899
CCDC6	GSS	1
CCDC6	GSR	0.999999999999868
CCDC6	IDH1	1
CCDC6	G6PD	1
CCDC6	GPX3	0.999999999911151
CCDC6	GGT1	0.999999999988377
CCDC6	ANPEP	1
GCLM	GGT5	1
GCLM	GSTM2	1
GCLM	GSTT2	1
GCLM	GSTT1	1
GCLM	GSTM1	1
GCLM	GSTA1	1
GCLM	GPX4	1
GCLM	GPX2	0.999999839558637
GCLM	GPX1	1
GCLM	OPLAH	1
GCLM	GCLC	0.999788002856903
GCLM	GSS	0.999999999999984
GCLM	GSR	0.999999835883723
GCLM	IDH1	0.999997443001801
GCLM	G6PD	0.999999951114657
GCLM	GPX3	0.999999999999852
GCLM	GGT1	0.999999999974279
GCLM	ANPEP	1
GGT5	GSTM2	1
GGT5	GSTT2	1
GGT5	GSTT1	1
GGT5	GSTM1	1
GGT5	GSTA1	1
GGT5	GPX4	1
GGT5	GPX2	1
GGT5	GPX1	1
GGT5	OPLAH	1
GGT5	GCLC	1
GGT5	GSS	1
GGT5	GSR	1
GGT5	IDH1	1
GGT5	G6PD	1
GGT5	GPX3	1
GGT5	GGT1	1
GGT5	ANPEP	1
GSTM2	GSTT2	1
GSTM2	GSTT1	1
GSTM2	GSTM1	0.828172977834721
GSTM2	GSTA1	1
GSTM2	GPX4	1
GSTM2	GPX2	1
GSTM2	GPX1	1
GSTM2	OPLAH	1
GSTM2	GCLC	1
GSTM2	GSS	1
GSTM2	GSR	1
GSTM2	IDH1	1
GSTM2	G6PD	1
GSTM2	GPX3	1
GSTM2	GGT1	1
GSTM2	ANPEP	1
GSTT2	GSTT1	0.99999999999934
GSTT2	GSTM1	1
GSTT2	GSTA1	1
GSTT2	GPX4	1
GSTT2	GPX2	1
GSTT2	GPX1	1
GSTT2	OPLAH	1
GSTT2	GCLC	1
GSTT2	GSS	1
GSTT2	GSR	1
GSTT2	IDH1	1
GSTT2	G6PD	1
GSTT2	GPX3	1
GSTT2	GGT1	1
GSTT2	ANPEP	1
GSTT1	GSTM1	1
GSTT1	GSTA1	1
GSTT1	GPX4	1
GSTT1	GPX2	1
GSTT1	GPX1	1
GSTT1	OPLAH	1
GSTT1	GCLC	1
GSTT1	GSS	1
GSTT1	GSR	1
GSTT1	IDH1	1
GSTT1	G6PD	1
GSTT1	GPX3	1
GSTT1	GGT1	1
GSTT1	ANPEP	1
GSTM1	GSTA1	1
GSTM1	GPX4	1
GSTM1	GPX2	1
GSTM1	GPX1	1
GSTM1	OPLAH	1
GSTM1	GCLC	1
GSTM1	GSS	1
GSTM1	GSR	1
GSTM1	IDH1	1
GSTM1	G6PD	1
GSTM1	GPX3	1
GSTM1	GGT1	1
GSTM1	ANPEP	1
GSTA1	GPX4	0.999999999997573
GSTA1	GPX2	1
GSTA1	GPX1	1
GSTA1	OPLAH	1
GSTA1	GCLC	1
GSTA1	GSS	0.999999999999937
GSTA1	GSR	1
GSTA1	IDH1	1
GSTA1	G6PD	1
GSTA1	GPX3	1
GSTA1	GGT1	1
GSTA1	ANPEP	1
GPX4	GPX2	1
GPX4	GPX1	0.999984498097238
GPX4	OPLAH	1
GPX4	GCLC	1
GPX4	GSS	0.999999999986057
GPX4	GSR	1
GPX4	IDH1	1
GPX4	G6PD	1
GPX4	GPX3	1
GPX4	GGT1	1
GPX4	ANPEP	1
GPX2	GPX1	1
GPX2	OPLAH	1
GPX2	GCLC	0.999999999835777
GPX2	GSS	1
GPX2	GSR	0.999998501491494
GPX2	IDH1	0.999999999950011
GPX2	G6PD	0.999999295220121
GPX2	GPX3	1
GPX2	GGT1	0.999999999999947
GPX2	ANPEP	1
GPX1	OPLAH	1
GPX1	GCLC	1
GPX1	GSS	1
GPX1	GSR	1
GPX1	IDH1	1
GPX1	G6PD	1
GPX1	GPX3	1
GPX1	GGT1	1
GPX1	ANPEP	1
OPLAH	GCLC	1
OPLAH	GSS	1
OPLAH	GSR	0.999999999999996
OPLAH	IDH1	1
OPLAH	G6PD	1
OPLAH	GPX3	0.999999999999337
OPLAH	GGT1	1
OPLAH	ANPEP	1
GCLC	GSS	0.999999999925276
GCLC	GSR	0.999999988215656
GCLC	IDH1	0.999999979902853
GCLC	G6PD	0.999999975760675
GCLC	GPX3	0.999999999348748
GCLC	GGT1	0.99999998410014
GCLC	ANPEP	1
GSS	GSR	0.999999999999932
GSS	IDH1	0.999999999999977
GSS	G6PD	1
GSS	GPX3	0.999999999141029
GSS	GGT1	0.999999999999994
GSS	ANPEP	1
GSR	IDH1	0.999999907737224
GSR	G6PD	0.999993841367649
GSR	GPX3	1
GSR	GGT1	0.999999999995849
GSR	ANPEP	1
IDH1	G6PD	0.999999999880014
IDH1	GPX3	0.999999999999976
IDH1	GGT1	0.999999999999998
IDH1	ANPEP	1
G6PD	GPX3	1
G6PD	GGT1	1
G6PD	ANPEP	1
GPX3	GGT1	0.999993204008404
GPX3	ANPEP	1
GGT1	ANPEP	1
