Net_124	Net_124	Net_124
GTF2H4	GTF2H3	0.985058290965066
GTF2H4	GTF2H2	0.982513328716947
GTF2H4	GTF2H1	0.993280138861822
GTF2H4	ERCC2	0.990209718734938
GTF2H4	GTF2H5	0.978553512943137
GTF2H4	ERCC3	0.902890576094058
GTF2H4	CCNH	0.999299686974183
GTF2H4	MNAT1	0.903347596742504
GTF2H4	CDK7	0.934327526714053
GTF2H4	DDB1	0.830207699779116
GTF2H4	CUL4B	0.978285699803777
GTF2H4	CUL4A	0.986082815254573
GTF2H4	RBX1	0.924953080457053
GTF2H4	LIG1	0.936225139098317
GTF2H4	RFC1	0.997513171855683
GTF2H4	RFC2	0.938213299311584
GTF2H4	RFC3	0.913172010052816
GTF2H4	RFC4	0.843401630890903
GTF2H4	RFC5	0.900190783814042
GTF2H4	PCNA	0.843648820764786
GTF2H4	POLE3	0.969802072897042
GTF2H4	POLE	0.990166292194745
GTF2H4	POLE2	0.913064681963811
GTF2H4	ERCC4	0.988565529431619
GTF2H4	ERCC5	0.996868950256097
GTF2H4	POLD3	0.968331638598297
GTF2H4	POLD1	0.989439871574669
GTF2H4	POLD2	0.877790413529803
GTF2H4	POLD4	0.999112671761307
GTF2H4	RPA4	0.964240673706305
GTF2H4	RPA1	0.945341465950725
GTF2H4	RPA2	0.891153373825691
GTF2H4	RPA3	0.888504094534608
GTF2H4	ERCC1	0.993349095303297
GTF2H4	XPA	0.993459526679424
GTF2H4	DDB2	0.994344674826712
GTF2H4	CETN2	0.98424556714615
GTF2H4	RAD23B	0.940769014187505
GTF2H4	ERCC8	0.994653397569641
GTF2H4	ERCC6	0.998348644048441
GTF2H4	XPC	0.959178163361247
GTF2H3	GTF2H2	0.994440316491139
GTF2H3	GTF2H1	0.996702455205522
GTF2H3	ERCC2	0.998663348301862
GTF2H3	GTF2H5	0.997709539536125
GTF2H3	ERCC3	0.987515317398939
GTF2H3	CCNH	0.990217524589314
GTF2H3	MNAT1	0.985920174344886
GTF2H3	CDK7	0.919499763899014
GTF2H3	DDB1	0.991148456984779
GTF2H3	CUL4B	0.960127297810078
GTF2H3	CUL4A	0.974093261038418
GTF2H3	RBX1	0.984496425543636
GTF2H3	LIG1	0.994195596228641
GTF2H3	RFC1	0.974938098151783
GTF2H3	RFC2	0.989972077460403
GTF2H3	RFC3	0.988575695676402
GTF2H3	RFC4	0.977125916976384
GTF2H3	RFC5	0.981227652916337
GTF2H3	PCNA	0.967320628379255
GTF2H3	POLE3	0.991253323133231
GTF2H3	POLE	0.985251726101441
GTF2H3	POLE2	0.990134376569127
GTF2H3	ERCC4	0.997880620997945
GTF2H3	ERCC5	0.998716118432505
GTF2H3	POLD3	0.99840980850353
GTF2H3	POLD1	0.996323971262324
GTF2H3	POLD2	0.982547341172216
GTF2H3	POLD4	0.99949355263262
GTF2H3	RPA4	0.990936194921018
GTF2H3	RPA1	0.988469657143286
GTF2H3	RPA2	0.980455464813641
GTF2H3	RPA3	0.971971253912545
GTF2H3	ERCC1	0.99919314669558
GTF2H3	XPA	0.997943176893636
GTF2H3	DDB2	0.991811492089547
GTF2H3	CETN2	0.998007453004015
GTF2H3	RAD23B	0.95136844800601
GTF2H3	ERCC8	0.994397627734245
GTF2H3	ERCC6	0.99672516705718
GTF2H3	XPC	0.995052973020187
GTF2H2	GTF2H1	0.999417157840094
GTF2H2	ERCC2	0.999285629589686
GTF2H2	GTF2H5	0.998025825469546
GTF2H2	ERCC3	0.996856281432105
GTF2H2	CCNH	0.999749657945048
GTF2H2	MNAT1	0.980633081298584
GTF2H2	CDK7	0.944849703859026
GTF2H2	DDB1	0.991216579586768
GTF2H2	CUL4B	0.988428526469662
GTF2H2	CUL4A	0.997454433346848
GTF2H2	RBX1	0.997306477722479
GTF2H2	LIG1	0.989156161095363
GTF2H2	RFC1	0.999700817837825
GTF2H2	RFC2	0.983917240330777
GTF2H2	RFC3	0.978717659486518
GTF2H2	RFC4	0.962996605680975
GTF2H2	RFC5	0.970240760993195
GTF2H2	PCNA	0.954966796387611
GTF2H2	POLE3	0.995849882045022
GTF2H2	POLE	0.998698761855333
GTF2H2	POLE2	0.969212951840564
GTF2H2	ERCC4	0.999681665526301
