Net_73	Net_73	Net_73
GLB1	LCT	1
GLB1	HEXA	0.999997733135827
GLB1	HEXB	0.999753424858781
GLB1	ST8SIA1	0.999999999184177
GLB1	ST8SIA5	0.999999999963922
GLB1	SLC33A1	0.9999973296904
GLB1	B3GALT4	0.999999999998077
GLB1	B4GALNT1	0.999999999999596
GLB1	ST3GAL1	0.999999999999505
GLB1	ST3GAL2	0.999999999999864
GLB1	ST6GALNAC4	1
GLB1	ST3GAL5	0.999999999974473
GLB1	ST6GALNAC5	0.999999999999986
LCT	HEXA	0.999999999999976
LCT	HEXB	0.999999999998816
LCT	ST8SIA1	0.999999999982762
LCT	ST8SIA5	0.999999995153051
LCT	SLC33A1	0.999999999999999
LCT	B3GALT4	0.99999999966538
LCT	B4GALNT1	0.999990145765077
LCT	ST3GAL1	0.999999998379008
LCT	ST3GAL2	1
LCT	ST6GALNAC4	1
LCT	ST3GAL5	1
LCT	ST6GALNAC5	0.999999999993232
HEXA	HEXB	0.999972352879504
HEXA	ST8SIA1	0.999999999999993
HEXA	ST8SIA5	0.999999999999999
HEXA	SLC33A1	0.999999999993836
HEXA	B3GALT4	0.999999999878308
HEXA	B4GALNT1	0.999999999999989
HEXA	ST3GAL1	0.999999999999632
HEXA	ST3GAL2	0.999999999999999
HEXA	ST6GALNAC4	1
HEXA	ST3GAL5	0.999999999992852
HEXA	ST6GALNAC5	0.999999999999998
HEXB	ST8SIA1	0.999999999806314
HEXB	ST8SIA5	0.999999999999991
HEXB	SLC33A1	0.999999999131056
HEXB	B3GALT4	0.999999999999996
HEXB	B4GALNT1	0.999999999588455
HEXB	ST3GAL1	0.99999999946841
HEXB	ST3GAL2	0.999999999979001
HEXB	ST6GALNAC4	1
HEXB	ST3GAL5	0.999999923864604
HEXB	ST6GALNAC5	0.999999999991887
ST8SIA1	ST8SIA5	1
ST8SIA1	SLC33A1	0.999999999999998
ST8SIA1	B3GALT4	1
ST8SIA1	B4GALNT1	0.999999967503889
ST8SIA1	ST3GAL1	1
ST8SIA1	ST3GAL2	0.99999999999949
ST8SIA1	ST6GALNAC4	0.999999999186347
ST8SIA1	ST3GAL5	1
ST8SIA1	ST6GALNAC5	0.999984749312843
ST8SIA5	SLC33A1	0.999999804790694
ST8SIA5	B3GALT4	0.999999999999859
ST8SIA5	B4GALNT1	0.999999999822801
ST8SIA5	ST3GAL1	0.999999999999479
ST8SIA5	ST3GAL2	0.999999999999991
ST8SIA5	ST6GALNAC4	1
ST8SIA5	ST3GAL5	1
ST8SIA5	ST6GALNAC5	1
SLC33A1	B3GALT4	0.99999927994394
SLC33A1	B4GALNT1	0.999999999999999
SLC33A1	ST3GAL1	0.999999999999999
SLC33A1	ST3GAL2	0.999999954559525
SLC33A1	ST6GALNAC4	0.999999999999403
SLC33A1	ST3GAL5	1
SLC33A1	ST6GALNAC5	0.999999999999999
B3GALT4	B4GALNT1	0.999999999999997
B3GALT4	ST3GAL1	0.999999998895695
B3GALT4	ST3GAL2	0.999999999971287
B3GALT4	ST6GALNAC4	0.999999999999998
B3GALT4	ST3GAL5	1
B3GALT4	ST6GALNAC5	1
B4GALNT1	ST3GAL1	0.999999999968522
B4GALNT1	ST3GAL2	0.999999999976045
B4GALNT1	ST6GALNAC4	1
B4GALNT1	ST3GAL5	0.999999999983334
B4GALNT1	ST6GALNAC5	0.999999981604303
ST3GAL1	ST3GAL2	1
ST3GAL1	ST6GALNAC4	0.999999999189503
ST3GAL1	ST3GAL5	0.999999999942965
ST3GAL1	ST6GALNAC5	1
ST3GAL2	ST6GALNAC4	0.999999999998423
ST3GAL2	ST3GAL5	1
ST3GAL2	ST6GALNAC5	0.999999987162108
ST6GALNAC4	ST3GAL5	0.999999999999588
ST6GALNAC4	ST6GALNAC5	0.999999999929416
ST3GAL5	ST6GALNAC5	1
