Net_285	Net_285	Net_285
NPY6R	PPYR1	0.999893869256993
NPY6R	MC2R	0.928167653257284
NPY6R	C5AR1	0.999959091877726
NPY6R	OXTR	0.999972795506227
NPY6R	AVPR2	0.998765693179584
NPY6R	AVPR1B	0.97604186171903
NPY6R	AVPR1A	0.95656199888298
NPY6R	SSTR5	0.999809556126593
NPY6R	SSTR4	0.983946794332755
NPY6R	SSTR3	0.999846990923765
NPY6R	SSTR2	0.998256519793348
NPY6R	SSTR1	0.999324041063613
NPY6R	TACR3	0.95741340437027
NPY6R	TACR2	0.961947251177286
NPY6R	TACR1	0.928513317199234
NPY6R	GHSR	0.997718576300121
NPY6R	TRHR	0.982007495329495
NPY6R	GNRHR	0.898527923671408
NPY6R	OPRL1	0.998820373172447
NPY6R	OPRM1	0.892410286679957
NPY6R	OPRK1	0.985767520501431
NPY6R	OPRD1	0.993503834289131
NPY6R	NTSR2	0.983975797737593
NPY6R	NTSR1	0.968641473217412
NPY6R	NPY5R	0.973138634143409
NPY6R	NPY2R	0.982207164529908
NPY6R	NPY1R	0.999998408131259
NPY6R	MC5R	0.958071456134638
NPY6R	MC4R	0.987038320402723
NPY6R	MC3R	0.997389702971682
NPY6R	MC1R	0.994936707575704
NPY6R	IL8RB	0.999696113544487
NPY6R	IL8RA	0.999823923111242
NPY6R	C3AR1	0.999953965284399
NPY6R	FPR1	0.999997572876008
NPY6R	CCKBR	0.893580650416608
NPY6R	CCKAR	0.954545863132638
NPY6R	EDNRB	0.999953639392113
NPY6R	EDNRA	0.999965784055658
NPY6R	GALR2	0.999903906516822
NPY6R	GALR1	0.999791567937884
NPY6R	TSHR	0.939955496977904
NPY6R	LHCGR	0.950216467163908
NPY6R	FSHR	0.972942635984743
NPY6R	CX3CR1	0.999996409842165
NPY6R	DARC	0.999922709203013
NPY6R	CXCR5	0.997941416068581
NPY6R	CXCR4	0.999355178194959
NPY6R	CXCR3	0.999927003126779
NPY6R	CXCR6	0.999947051707804
NPY6R	CCR10	0.999996016782055
NPY6R	CCR9	0.999801957695654
NPY6R	CCR8	0.964694645722955
NPY6R	CCR7	0.999997304393847
