Net_236	Net_236	Net_236
TRA@	LCK	0.999950542321567
TRA@	TRD@	1
TRA@	TRAF6	1
TRA@	EIF2AK2	1
TRA@	TNFSF11	1
TRA@	NGFR	1
TRA@	TNFRSF11B	1
TRA@	TNFRSF1A	1
TRA@	TNFRSF1B	0.999999999999432
TRA@	TRAF2	1
TRA@	RIPK1	1
TRA@	MAP3K14	1
TRA@	MAP3K3	1
LCK	TRD@	0.999999999999327
LCK	TRAF6	1
LCK	EIF2AK2	1
LCK	TNFSF11	1
LCK	NGFR	1
LCK	TNFRSF11B	1
LCK	TNFRSF1A	1
LCK	TNFRSF1B	0.999999988683473
LCK	TRAF2	1
LCK	RIPK1	1
LCK	MAP3K14	1
LCK	MAP3K3	1
TRD@	TRAF6	0.999999999967141
TRD@	EIF2AK2	1
TRD@	TNFSF11	1
TRD@	NGFR	1
TRD@	TNFRSF11B	1
TRD@	TNFRSF1A	1
TRD@	TNFRSF1B	0.999999999650456
TRD@	TRAF2	1
TRD@	RIPK1	1
TRD@	MAP3K14	1
TRD@	MAP3K3	1
TRAF6	EIF2AK2	1
TRAF6	TNFSF11	1
TRAF6	NGFR	1
TRAF6	TNFRSF11B	1
TRAF6	TNFRSF1A	1
TRAF6	TNFRSF1B	1
TRAF6	TRAF2	1
TRAF6	RIPK1	1
TRAF6	MAP3K14	1
TRAF6	MAP3K3	1
EIF2AK2	TNFSF11	1
EIF2AK2	NGFR	1
EIF2AK2	TNFRSF11B	1
EIF2AK2	TNFRSF1A	1
EIF2AK2	TNFRSF1B	1
EIF2AK2	TRAF2	1
EIF2AK2	RIPK1	1
EIF2AK2	MAP3K14	1
EIF2AK2	MAP3K3	1
TNFSF11	NGFR	1
TNFSF11	TNFRSF11B	1
TNFSF11	TNFRSF1A	1
TNFSF11	TNFRSF1B	1
TNFSF11	TRAF2	1
TNFSF11	RIPK1	1
TNFSF11	MAP3K14	1
TNFSF11	MAP3K3	0.999999999999994
NGFR	TNFRSF11B	1
NGFR	TNFRSF1A	1
NGFR	TNFRSF1B	1
NGFR	TRAF2	0.999999999996464
NGFR	RIPK1	1
NGFR	MAP3K14	1
NGFR	MAP3K3	1
TNFRSF11B	TNFRSF1A	1
TNFRSF11B	TNFRSF1B	1
TNFRSF11B	TRAF2	1
TNFRSF11B	RIPK1	1
TNFRSF11B	MAP3K14	1
TNFRSF11B	MAP3K3	1
TNFRSF1A	TNFRSF1B	0.999999999979972
TNFRSF1A	TRAF2	1
TNFRSF1A	RIPK1	1
TNFRSF1A	MAP3K14	1
TNFRSF1A	MAP3K3	0.999999999942566
TNFRSF1B	TRAF2	1
TNFRSF1B	RIPK1	1
TNFRSF1B	MAP3K14	0.99999999999988
TNFRSF1B	MAP3K3	0.999999999713338
TRAF2	RIPK1	1
TRAF2	MAP3K14	1
TRAF2	MAP3K3	1
RIPK1	MAP3K14	1
RIPK1	MAP3K3	1
MAP3K14	MAP3K3	0.999999999830663
