Net_374	Net_374	Net_374
ALAS1	ALAS2	0.999980333184411
ALAS1	FECH	0.999378494513726
ALAS1	PPOX	0.999996130579955
ALAS1	CPOX	0.99997328949756
ALAS1	UROD	0.998942397829872
ALAS1	UROS	0.999988141071152
ALAS1	HMBS	0.998388774480194
ALAS1	ALAD	0.998526280620371
ALAS2	FECH	0.999996775951254
ALAS2	PPOX	0.999989108341003
ALAS2	CPOX	0.998806951941153
ALAS2	UROD	0.999946373958982
ALAS2	UROS	0.99996601004909
ALAS2	HMBS	0.990040178738125
ALAS2	ALAD	0.99802837727474
FECH	PPOX	0.998803911373886
FECH	CPOX	0.998599174597025
FECH	UROD	0.999948916839256
FECH	UROS	0.999993970866883
FECH	HMBS	0.999973628765726
FECH	ALAD	0.999470152043631
PPOX	CPOX	0.999984830701572
PPOX	UROD	0.998694331081514
PPOX	UROS	0.99919566711273
PPOX	HMBS	0.998921856933982
PPOX	ALAD	0.999991229455815
CPOX	UROD	0.999999499717089
CPOX	UROS	0.999934983426923
CPOX	HMBS	0.992931824533404
CPOX	ALAD	0.999958194770232
UROD	UROS	0.996679183420228
UROD	HMBS	0.999969334206053
UROD	ALAD	0.998401497723225
UROS	HMBS	0.997873823717316
UROS	ALAD	0.999982875167453
HMBS	ALAD	0.994461108458516
