Net_164	Net_164	Net_164
CSNK1D	CSNK1E	0.999999999999108
CSNK1D	BHLHB3	0.999999999996441
CSNK1D	BHLHB2	0.999663933740968
CSNK1D	CRY1	0.999999999999991
CSNK1D	CRY2	0.999912486406621
CSNK1D	ARNTL	0.999999999999699
CSNK1D	NPAS2	0.999999999998895
CSNK1D	CLOCK	1
CSNK1D	NR1D1	0.999999999999988
CSNK1D	PER1	0.999998137598603
CSNK1D	PER3	0.999999886366646
CSNK1D	PER2	0.999999999921497
CSNK1E	BHLHB3	1
CSNK1E	BHLHB2	0.999999999999999
CSNK1E	CRY1	0.999999999999999
CSNK1E	CRY2	0.999999990056392
CSNK1E	ARNTL	0.99999999999992
CSNK1E	NPAS2	1
CSNK1E	CLOCK	1
CSNK1E	NR1D1	1
CSNK1E	PER1	0.999999981548788
CSNK1E	PER3	0.999999999999962
CSNK1E	PER2	0.999999999264155
BHLHB3	BHLHB2	0.999999999999963
BHLHB3	CRY1	1
BHLHB3	CRY2	0.999999999997197
BHLHB3	ARNTL	1
BHLHB3	NPAS2	0.999999999999743
BHLHB3	CLOCK	1
BHLHB3	NR1D1	1
BHLHB3	PER1	0.999999999998979
BHLHB3	PER3	0.999999991671819
BHLHB3	PER2	0.999999999999961
BHLHB2	CRY1	1
BHLHB2	CRY2	0.999999851967665
BHLHB2	ARNTL	1
BHLHB2	NPAS2	0.999999999998859
BHLHB2	CLOCK	1
BHLHB2	NR1D1	0.999999999995523
BHLHB2	PER1	0.99999999900921
BHLHB2	PER3	0.999999997280968
BHLHB2	PER2	0.999999999999953
CRY1	CRY2	0.999999999999714
CRY1	ARNTL	0.999999999999999
CRY1	NPAS2	0.999999996068063
CRY1	CLOCK	1
CRY1	NR1D1	0.999998810171551
CRY1	PER1	0.999999999939555
CRY1	PER3	0.999999999975891
CRY1	PER2	0.999998511738553
CRY2	ARNTL	0.999999996577106
CRY2	NPAS2	0.999999999976351
CRY2	CLOCK	1
CRY2	NR1D1	1
CRY2	PER1	0.995915240631056
CRY2	PER3	0.999998298851626
CRY2	PER2	0.999999642987465
ARNTL	NPAS2	1
ARNTL	CLOCK	0.999999999999991
ARNTL	NR1D1	1
ARNTL	PER1	0.999999999985639
ARNTL	PER3	0.99999999955506
ARNTL	PER2	0.999999999472299
NPAS2	CLOCK	0.999999999999997
NPAS2	NR1D1	0.999999999999778
NPAS2	PER1	0.999999998405125
NPAS2	PER3	0.999999751389393
NPAS2	PER2	0.99999999959552
CLOCK	NR1D1	1
CLOCK	PER1	1
CLOCK	PER3	1
CLOCK	PER2	1
NR1D1	PER1	0.999999999999998
NR1D1	PER3	1
NR1D1	PER2	0.999999999942182
PER1	PER3	0.999999182782158
PER1	PER2	0.999959492088407
PER3	PER2	0.999995324684711
