Net_336	Net_336	Net_336
MAP3K12	JUN	0.994177623030737
MAP3K12	MAP2K3	0.989845734197036
MAP3K12	MAPK14	0.927872795008511
MAP3K12	MAP2K6	0.972729730483927
MAP3K12	MAPK10	0.991720514025243
MAP3K12	MAP2K4	0.943785986707676
MAP3K12	MAP2K7	0.948528947067344
MAP3K12	ELK1	0.817255141595389
MAP3K12	MAP2	0.990820034408364
MAP3K12	MBP	0.997868854772587
MAP3K12	MAPK1	0.868687635888488
MAP3K12	MAPK3	0.978908507374833
MAP3K12	MAP2K2	0.989837802172321
MAP3K12	MAP2K1	0.859111485819242
MAP3K12	MAP3K3	0.979725185031612
MAP3K12	MAP3K2	0.986954700324461
MAP3K12	BRAF	0.8987424443139
MAP3K12	ARAF	0.988034830822484
MAP3K12	RAF1	0.94742224264059
MAP3K12	KRAS	0.993380960835098
MAP3K12	RRAS	0.981273560995193
MAP3K12	NRAS	0.928820973989629
MAP3K12	HRAS	0.985098716215373
MAP3K12	RASA3	0.888195791912972
MAP3K12	PLCB3	0.993164335582448
MAP3K12	SIPA1	0.926626521893377
JUN	MAP2K3	0.991781639478702
JUN	MAPK14	0.996733101231331
JUN	MAP2K6	0.967403748999106
JUN	MAPK10	0.995737616727086
JUN	MAP2K4	0.984230088086191
JUN	MAP2K7	0.990430084907481
JUN	ELK1	0.989026828812486
JUN	MAP2	0.993684268387754
JUN	MBP	0.99237100099359
JUN	MAPK1	0.991236594203051
JUN	MAPK3	0.978552183279036
JUN	MAP2K2	0.985918825218143
JUN	MAP2K1	0.994677939957403
JUN	MAP3K3	0.939545991522694
JUN	MAP3K2	0.990733106598575
JUN	BRAF	0.989824500072678
JUN	ARAF	0.994227987504485
JUN	RAF1	0.985133350571161
JUN	KRAS	0.987690575530576
JUN	RRAS	0.919903236833294
JUN	NRAS	0.961246662840289
JUN	HRAS	0.994471665004446
JUN	RASA3	0.994187737380452
JUN	PLCB3	0.997642110645128
JUN	SIPA1	0.995594147089418
MAP2K3	MAPK14	0.987025016957201
MAP2K3	MAP2K6	0.986998941738496
MAP2K3	MAPK10	0.99818120844629
MAP2K3	MAP2K4	0.96180146394242
MAP2K3	MAP2K7	0.990890683979197
MAP2K3	ELK1	0.979606096233335
MAP2K3	MAP2	0.990764493782553
MAP2K3	MBP	0.997066792847844
MAP2K3	MAPK1	0.991065773112288
MAP2K3	MAPK3	0.981483015635362
MAP2K3	MAP2K2	0.986361634604124
MAP2K3	MAP2K1	0.994396997092029
MAP2K3	MAP3K3	0.968202637169258
MAP2K3	MAP3K2	0.982425752540069
MAP2K3	BRAF	0.983754856822544
MAP2K3	ARAF	0.987957744343664
MAP2K3	RAF1	0.962369558612898
MAP2K3	KRAS	0.991573474537887
MAP2K3	RRAS	0.94491533265469
MAP2K3	NRAS	0.981688260487733
MAP2K3	HRAS	0.983305936461016
MAP2K3	RASA3	0.967223857680111
MAP2K3	PLCB3	0.996183280764993
MAP2K3	SIPA1	0.992845716671612
MAPK14	MAP2K6	0.989448152216069
MAPK14	MAPK10	0.992883269496387
MAPK14	MAP2K4	0.987716763805104
MAPK14	MAP2K7	0.974770964636207
MAPK14	ELK1	0.95471445854506
MAPK14	MAP2	0.983530214554334
MAPK14	MBP	0.995168347731128
MAPK14	MAPK1	0.82681411647071
MAPK14	MAPK3	0.98753476135734
MAPK14	MAP2K2	0.981409423179388
MAPK14	MAP2K1	0.919013088556767
MAPK14	MAP3K3	0.981851843857946
MAPK14	MAP3K2	0.987527861568048
MAPK14	BRAF	0.977637363826752
MAPK14	ARAF	0.993645269417151
MAPK14	RAF1	0.993270639769702
MAPK14	KRAS	0.99231479378637
MAPK14	RRAS	0.980987829012346
MAPK14	NRAS	0.898260327797505
MAPK14	HRAS	0.997562336821102
MAPK14	RASA3	0.984769206668464
MAPK14	PLCB3	0.998323990633309
MAPK14	SIPA1	0.986360755187011
MAP2K6	MAPK10	0.983561663319969
MAP2K6	MAP2K4	0.991927647153193
MAP2K6	MAP2K7	0.990514091091397
MAP2K6	ELK1	0.930907404169956
MAP2K6	MAP2	0.992661906601355
MAP2K6	MBP	0.98203949120102
MAP2K6	MAPK1	0.971989566780828
MAP2K6	MAPK3	0.965089727522978
MAP2K6	MAP2K2	0.998311181313025
MAP2K6	MAP2K1	0.965748317549406
MAP2K6	MAP3K3	0.924970017610039
MAP2K6	MAP3K2	0.969979397118381
MAP2K6	BRAF	0.942403938971783
MAP2K6	ARAF	0.990858323802612
MAP2K6	RAF1	0.988438668156613
MAP2K6	KRAS	0.982633932445165
MAP2K6	RRAS	0.935579976774937
MAP2K6	NRAS	0.966410537020167
MAP2K6	HRAS	0.991617996282561
MAP2K6	RASA3	0.990745303231147
MAP2K6	PLCB3	0.985787803572534
MAP2K6	SIPA1	0.99433469275259
MAPK10	MAP2K4	0.998362723988263
MAPK10	MAP2K7	0.997114642095754
MAPK10	ELK1	0.99352820062081
MAPK10	MAP2	0.985728987303417
MAPK10	MBP	0.998289302881986
MAPK10	MAPK1	0.986024740572005
MAPK10	MAPK3	0.988449864040052
MAPK10	MAP2K2	0.996790314062896
MAPK10	MAP2K1	0.994009676916345
MAPK10	MAP3K3	0.968769196303356
MAPK10	MAP3K2	0.985054568995589
MAPK10	BRAF	0.995670656750963
MAPK10	ARAF	0.96947800918926
MAPK10	RAF1	0.990230439371762
MAPK10	KRAS	0.98775610530739
MAPK10	RRAS	0.986802254046606
MAPK10	NRAS	0.945110434501946
MAPK10	HRAS	0.995717994217219
MAPK10	RASA3	0.997423541680923
MAPK10	PLCB3	0.99492481899004
MAPK10	SIPA1	0.997012081638369
MAP2K4	MAP2K7	0.908057156031407
MAP2K4	ELK1	0.953397441522869
MAP2K4	MAP2	0.996948118840662
MAP2K4	MBP	0.999237809762496
MAP2K4	MAPK1	0.942656188449341
MAP2K4	MAPK3	0.982783034108929
MAP2K4	MAP2K2	0.930964545269658
MAP2K4	MAP2K1	0.948302224977015
MAP2K4	MAP3K3	0.992882182724135
MAP2K4	MAP3K2	0.99707907361456
MAP2K4	BRAF	0.981095654530967
MAP2K4	ARAF	0.988435404313425
MAP2K4	RAF1	0.959280689332467
MAP2K4	KRAS	0.998104417833868
MAP2K4	RRAS	0.993498829276753
MAP2K4	NRAS	0.975727604398284
MAP2K4	HRAS	0.993665283806031
MAP2K4	RASA3	0.936262407153527
MAP2K4	PLCB3	0.99731931200651
MAP2K4	SIPA1	0.943797560375982
MAP2K7	ELK1	0.974609730800406
MAP2K7	MAP2	0.995218051462211
MAP2K7	MBP	0.998720266888824
MAP2K7	MAPK1	0.882942043826938
MAP2K7	MAPK3	0.922081071003684
MAP2K7	MAP2K2	0.954115739987608
MAP2K7	MAP2K1	0.935929961779201
MAP2K7	MAP3K3	0.97198074274583
MAP2K7	MAP3K2	0.991496522983521
MAP2K7	BRAF	0.992221772398004
MAP2K7	ARAF	0.973623761065095
MAP2K7	RAF1	0.988513010032968
MAP2K7	KRAS	0.994601017884209
MAP2K7	RRAS	0.984758051858667
MAP2K7	NRAS	0.943554519116796
MAP2K7	HRAS	0.991781746384814
MAP2K7	RASA3	0.937092781122942
MAP2K7	PLCB3	0.994503235612806
MAP2K7	SIPA1	0.959126571869757
ELK1	MAP2	0.994481994812881
ELK1	MBP	0.997819428209462
ELK1	MAPK1	0.921071538553546
ELK1	MAPK3	0.984359308991371
ELK1	MAP2K2	0.99317559060937
ELK1	MAP2K1	0.865517907112434
ELK1	MAP3K3	0.964625861210845
