Net_32	Net_32	Net_32
AASS	BBOX1	0.999999999999999
AASS	ALDH9A1	0.999999997398753
AASS	TMLHE	0.999999999999999
AASS	SPCS1	0.999999999999993
AASS	SPCS3	0.9999999999998
AASS	EHMT2	0.999999804070021
AASS	SETD1B	1
AASS	SETD2	0.999999999997193
AASS	SETD8	1
AASS	SUV420H1	0.999999999989509
AASS	WHSC1L1	1
AASS	ASH1L	0.999999999999593
AASS	SETMAR	1
AASS	NSD1	0.999999999997824
AASS	SUV39H1	0.999999964007139
AASS	WHSC1	0.999999999448141
AASS	SUV39H2	0.9999999999965
AASS	EHMT1	0.999999999999998
AASS	DOT1L	1
AASS	SETD1A	0.999999998552232
AASS	SETDB1	0.99999999869612
AASS	PLOD1	0.999999999980245
AASS	PLOD2	0.999999999770618
AASS	PLOD3	0.999999999592791
AASS	ECHS1	0.999999999998885
AASS	EHHADH	1
AASS	HADHA	0.999999999999955
AASS	HSD17B10	0.999999964910305
AASS	HADH	0.999999999999893
AASS	HSD17B4	0.999981336092683
AASS	AASDHPPT	1
AASS	OGDH	0.999999999951917
AASS	OGDHL	0.999999999952284
AASS	ACAT1	0.999999956099504
AASS	ACAT2	0.999999999976015
AASS	GCDH	0.999999999975602
AASS	ALDH2	0.999999858588942
AASS	ALDH3A1	1
AASS	ALDH1B1	0.999999999913727
AASS	ALDH1A3	0.999999999999995
AASS	ALDH3A2	0.999999997582069
AASS	ALDH7A1	0.999999999999999
AASS	PIPOX	0.999999999999999
BBOX1	ALDH9A1	0.999999999999866
BBOX1	TMLHE	0.999999999999986
BBOX1	SPCS1	0.999999999999819
BBOX1	SPCS3	0.999999562273647
BBOX1	EHMT2	0.999999999999994
BBOX1	SETD1B	0.999999999999952
BBOX1	SETD2	0.999999999999995
BBOX1	SETD8	1
BBOX1	SUV420H1	0.999999999956474
BBOX1	WHSC1L1	0.999999999999996
BBOX1	ASH1L	0.999999999999992
BBOX1	SETMAR	0.999999999999997
BBOX1	NSD1	1
BBOX1	SUV39H1	0.999999999999997
BBOX1	WHSC1	0.999999999706335
BBOX1	SUV39H2	0.999999999999956
BBOX1	EHMT1	1
BBOX1	DOT1L	1
BBOX1	SETD1A	1
BBOX1	SETDB1	0.999999999999995
BBOX1	PLOD1	0.999999999999672
BBOX1	PLOD2	0.999999982944472
BBOX1	PLOD3	0.999999999999999
BBOX1	ECHS1	0.999999998833637
BBOX1	EHHADH	0.999999999999999
BBOX1	HADHA	1
BBOX1	HSD17B10	0.999999999999996
BBOX1	HADH	0.999999999953436
BBOX1	HSD17B4	0.999999999911351
BBOX1	AASDHPPT	0.999999999999588
BBOX1	OGDH	0.999999999969864
BBOX1	OGDHL	1
BBOX1	ACAT1	0.999999995512959
BBOX1	ACAT2	0.999999999999996
BBOX1	GCDH	0.999999999999979
BBOX1	ALDH2	0.999999999956799
BBOX1	ALDH3A1	1
BBOX1	ALDH1B1	0.999999999817451
BBOX1	ALDH1A3	0.999999999999998
BBOX1	ALDH3A2	0.999999847400252
BBOX1	ALDH7A1	0.999999999999994
BBOX1	PIPOX	1
ALDH9A1	TMLHE	0.999999999999558
ALDH9A1	SPCS1	0.999999999999946
ALDH9A1	SPCS3	0.999999999996145
ALDH9A1	EHMT2	0.999999999999891
ALDH9A1	SETD1B	0.9999999999426
ALDH9A1	SETD2	0.999999981957105
ALDH9A1	SETD8	1
ALDH9A1	SUV420H1	0.999999965654353
ALDH9A1	WHSC1L1	0.999999999995334
ALDH9A1	ASH1L	0.999999992504194
ALDH9A1	SETMAR	0.999999999999996
ALDH9A1	NSD1	1
ALDH9A1	SUV39H1	0.99999999995448
ALDH9A1	WHSC1	0.999999999789455
ALDH9A1	SUV39H2	0.999999982070893
ALDH9A1	EHMT1	0.999999993381628
ALDH9A1	DOT1L	1
ALDH9A1	SETD1A	0.999999999999885
ALDH9A1	SETDB1	0.999999999999999
ALDH9A1	PLOD1	0.99999999995673
ALDH9A1	PLOD2	0.999999998326516
ALDH9A1	PLOD3	0.99999999999984
ALDH9A1	ECHS1	0.999999999994096
ALDH9A1	EHHADH	1
ALDH9A1	HADHA	0.999999999999832
ALDH9A1	HSD17B10	0.999999999967279
ALDH9A1	HADH	0.999999998812716
ALDH9A1	HSD17B4	0.999930925617623
ALDH9A1	AASDHPPT	0.999999999999943
ALDH9A1	OGDH	1
ALDH9A1	OGDHL	1
ALDH9A1	ACAT1	0.999998702887798
ALDH9A1	ACAT2	0.99999999878571
ALDH9A1	GCDH	0.999999999999824
ALDH9A1	ALDH2	0.999998146631266
ALDH9A1	ALDH3A1	0.999999999999999
ALDH9A1	ALDH1B1	0.999999924004376
ALDH9A1	ALDH1A3	0.999999999999743
ALDH9A1	ALDH3A2	0.999999183510718
ALDH9A1	ALDH7A1	0.999999999999855
ALDH9A1	PIPOX	0.999999999819079
TMLHE	SPCS1	0.999996933610589
TMLHE	SPCS3	0.999999999998767
TMLHE	EHMT2	0.999999999927776
TMLHE	SETD1B	1
TMLHE	SETD2	0.999999873160617
TMLHE	SETD8	0.999999999988203
TMLHE	SUV420H1	0.999999999997228
TMLHE	WHSC1L1	0.992507568156407
TMLHE	ASH1L	0.999987506541718
TMLHE	SETMAR	0.999999999999986
TMLHE	NSD1	0.999999999769259
TMLHE	SUV39H1	0.999999999964853
TMLHE	WHSC1	0.999999999999996
TMLHE	SUV39H2	0.999997244723395
TMLHE	EHMT1	0.999999999976327
TMLHE	DOT1L	0.999999999999987
TMLHE	SETD1A	0.999999999999988
TMLHE	SETDB1	0.999999999985958
TMLHE	PLOD1	0.999999992952323
TMLHE	PLOD2	0.999999999999
TMLHE	PLOD3	0.999999999997542
TMLHE	ECHS1	0.999987849229408
TMLHE	EHHADH	0.999999999999998
TMLHE	HADHA	0.99999999999849
TMLHE	HSD17B10	0.999999972368294
TMLHE	HADH	0.99999999999316
TMLHE	HSD17B4	0.999999999997109
TMLHE	AASDHPPT	0.999999998753862
TMLHE	OGDH	0.999999996231231
TMLHE	OGDHL	0.999999999999874
TMLHE	ACAT1	0.999999999951703
TMLHE	ACAT2	0.999999999968221
TMLHE	GCDH	0.999999999999956
TMLHE	ALDH2	0.999999999999774
TMLHE	ALDH3A1	0.999999999999935
TMLHE	ALDH1B1	0.999999999999961
TMLHE	ALDH1A3	0.999999999999965
TMLHE	ALDH3A2	0.999999999999999
TMLHE	ALDH7A1	0.999999979164995
TMLHE	PIPOX	0.999986437365215
SPCS1	SPCS3	0.999999597509937
SPCS1	EHMT2	0.99999999997603
SPCS1	SETD1B	1
SPCS1	SETD2	0.999999999388134
SPCS1	SETD8	0.999999999999932
SPCS1	SUV420H1	0.999999999243428
SPCS1	WHSC1L1	0.99999982496211
SPCS1	ASH1L	0.999999226586732
SPCS1	SETMAR	1
SPCS1	NSD1	0.9999999999999
SPCS1	SUV39H1	0.999999999999117
SPCS1	WHSC1	0.999999999998165
SPCS1	SUV39H2	0.999999999990788
SPCS1	EHMT1	0.999999999222016
SPCS1	DOT1L	0.999999996598873
SPCS1	SETD1A	0.99999999995447
SPCS1	SETDB1	0.999999999998152
SPCS1	PLOD1	0.999999999985081
SPCS1	PLOD2	0.999999717198359
SPCS1	PLOD3	0.999999999993381
SPCS1	ECHS1	0.999999600097411
SPCS1	EHHADH	0.999999999935513
SPCS1	HADHA	0.999999980045319
SPCS1	HSD17B10	0.999999813771133
SPCS1	HADH	0.999999999983581
SPCS1	HSD17B4	0.999999999785918
SPCS1	AASDHPPT	0.999748129992622
SPCS1	OGDH	0.999999999999988
SPCS1	OGDHL	1
SPCS1	ACAT1	0.999999999992163
SPCS1	ACAT2	0.999999999140729
SPCS1	GCDH	0.999999999999997
SPCS1	ALDH2	0.999999966196716
SPCS1	ALDH3A1	0.999999999999925
SPCS1	ALDH1B1	0.999999999913834
SPCS1	ALDH1A3	0.999999999997246
SPCS1	ALDH3A2	0.999999999995907
SPCS1	ALDH7A1	0.999999864755012
SPCS1	PIPOX	0.999999865224267
SPCS3	EHMT2	0.99999999999988
SPCS3	SETD1B	0.999999999999926
SPCS3	SETD2	0.999999999999995
SPCS3	SETD8	0.999999999976293
SPCS3	SUV420H1	0.999999976364657
SPCS3	WHSC1L1	0.999999999999939
SPCS3	ASH1L	0.999999999996528
