"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"Net_107"	"Net_107"	"1"	"0.330484142667145"	"Non-non"
"CYP2B6"	"CYP2E1"	"2"	"0.341963444856316"	"Non-non"
"CYP2B6"	"CYP2F1"	"3"	"0.349331024920146"	"Sig-non"
"CYP2B6"	"CYP1A1"	"4"	"0.352386186307231"	"Non-non"
"CYP2B6"	"CYP1B1"	"5"	"0.358820165412958"	"Sig-non"
"CYP2B6"	"CYP3A7"	"6"	"0.369478015329375"	"Sig-non"
"CYP2B6"	"CYP2C19"	"7"	"0.372746503232225"	"Non-non"
"CYP2B6"	"CYP2C8"	"8"	"0.458910634767813"	"Non-non"
"CYP2B6"	"CYP2C9"	"9"	"0.467134172258887"	"Non-non"
"CYP2B6"	"CYP2C18"	"10"	"0.479992381358739"	"Non-non"
"CYP2B6"	"CYP3A4"	"11"	"0.593045937225903"	"Sig-non"
"CYP2B6"	"CYP3A5"	"12"	"0.597103813051595"	"Sig-non"
"CYP2B6"	"CYP3A43"	"13"	"0.601361471915479"	"Sig-non"
"CYP2B6"	"CYP1A2"	"14"	"0.609026875868891"	"Sig-non"
"CYP2B6"	"GSTA1"	"15"	"0.615644898207669"	"Non-non"
"CYP2B6"	"GSTA2"	"16"	"0.617408041230661"	"Non-non"
"CYP2B6"	"GSTA3"	"17"	"0.622638780975666"	"Non-non"
"CYP2B6"	"GSTA4"	"18"	"0.626925363538967"	"Sig-non"
"CYP2B6"	"GSTM1"	"19"	"0.628502767989398"	"Sig-non"
"CYP2B6"	"GSTM2"	"20"	"0.629043650208994"	"Sig-non"
"CYP2B6"	"GSTM3"	"21"	"0.630698687541414"	"Non-non"
"CYP2B6"	"GSTM4"	"22"	"0.633650259164408"	"Sig-non"
"CYP2B6"	"GSTM5"	"23"	"0.634572499591754"	"Sig-non"
"CYP2B6"	"GSTP1"	"24"	"0.635499950354184"	"Non-non"
"CYP2B6"	"GSTT1"	"25"	"0.635625029002987"	"Sig-non"
"CYP2B6"	"GSTT2"	"26"	"0.641114666821816"	"Non-non"
"CYP2B6"	"GSTZ1"	"27"	"0.740856428798757"	"Sig-non"
"CYP2B6"	"GSTK1"	"28"	"0.750737747170319"	"Non-non"
"CYP2B6"	"MGST2"	"29"	"0.756848854693992"	"Sig-non"
"CYP2B6"	"MGST3"	"30"	"0.757788459036886"	"Sig-non"
"CYP2B6"	"GSTO1"	"31"	"0.758144135204076"	"Sig-non"
"CYP2B6"	"UGT2A1"	"32"	"0.761051955367307"	"Sig-non"
"CYP2B6"	"UGT2B28"	"33"	"0.764123441199262"	"Sig-non"
"CYP2B6"	"UGT1A8"	"34"	"0.76609193872512"	"Non-non"
"CYP2B6"	"UGT1A6"	"35"	"0.785495328174171"	"Sig-non"
"CYP2B6"	"UGT1A9"	"36"	"0.786871495642289"	"Sig-non"
"CYP2B6"	"UGT1A1"	"37"	"0.799920144530999"	"Sig-non"
"CYP2B6"	"UGT1A3"	"38"	"0.800542421852634"	"Sig-non"
"CYP2B6"	"UGT2B4"	"39"	"0.802328665483939"	"Non-non"
"CYP2B6"	"UGT2B15"	"40"	"0.805526291137799"	"Non-non"
"CYP2B6"	"UGT2B17"	"41"	"0.806147739074699"	"Sig-non"
"CYP2B6"	"UGT2A3"	"42"	"0.811150685594638"	"Non-non"
"CYP2B6"	"ALDH3A1"	"43"	"0.811594747495965"	"Non-non"
"CYP2B6"	"ALDH1A3"	"44"	"0.822259949653734"	"Sig-non"
"CYP2B6"	"ALDH3B1"	"45"	"0.823983525317513"	"Sig-non"
"CYP2B6"	"ALDH3B2"	"46"	"0.826147560627086"	"Sig-non"
"CYP2B6"	"ADH1A"	"47"	"0.827840812836151"	"Sig-non"
"CYP2B6"	"ADH1B"	"48"	"0.828602207624336"	"Sig-non"
"CYP2B6"	"ADH1C"	"49"	"0.828612666879223"	"Sig-non"
"CYP2B6"	"ADH5"	"50"	"0.830051696847131"	"Sig-non"
"CYP2B6"	"ADH6"	"51"	"0.830155940420545"	"Non-non"
"CYP2B6"	"ADH7"	"52"	"0.830639783546598"	"Non-non"
"CYP2B6"	"EPHX1"	"53"	"0.83211103354526"	"Sig-non"
"CYP2B6"	"AKR1C4"	"54"	"0.833017576379314"	"Non-non"
"CYP2B6"	"AKR1C1"	"55"	"0.834957766485779"	"Non-non"
"CYP2B6"	"AKR1C2"	"56"	"0.837593978946194"	"Sig-non"
"CYP2B6"	"AKR1C3"	"57"	"0.842331250953825"	"Non-non"
"CYP2E1"	"CYP2F1"	"58"	"0.842416006569846"	"Sig-non"
"CYP2E1"	"CYP1A1"	"59"	"0.842589696347189"	"Non-non"
"CYP2E1"	"CYP1B1"	"60"	"0.84274346997086"	"Sig-non"
"CYP2E1"	"CYP3A7"	"61"	"0.844981992807224"	"Sig-non"
"CYP2E1"	"CYP2C19"	"62"	"0.850710462205991"	"Non-non"
"CYP2E1"	"CYP2C8"	"63"	"0.855153474490998"	"Non-non"
"CYP2E1"	"CYP2C9"	"64"	"0.856331924255943"	"Non-non"
"CYP2E1"	"CYP2C18"	"65"	"0.860905705091462"	"Non-non"
"CYP2E1"	"CYP3A4"	"66"	"0.861141544580453"	"Sig-non"
