"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"Net_385"	"Net_385"	"1"	"0.780695721929013"	"Non-non"
"EGFR"	"EGF"	"2"	"0.830709991811235"	"Sig-non"
"EGFR"	"RBPJ"	"3"	"0.833043669517304"	"Non-non"
"EGFR"	"JUN"	"4"	"0.848384586083979"	"Sig-non"
"EGFR"	"LCK"	"5"	"0.861474431924017"	"Non-non"
"EGFR"	"CNTF"	"6"	"0.890306724867279"	"Non-non"
"EGFR"	"CNTFR"	"7"	"0.894360896579862"	"Sig-non"
"EGFR"	"MAGEA1"	"8"	"0.896440940355531"	"Sig-non"
"EGFR"	"SMAD1"	"9"	"0.902839319498611"	"Sig-non"
"EGFR"	"SPEN"	"10"	"0.908511080252746"	"Sig-non"
"EGFR"	"HIVEP3"	"11"	"0.914740658323459"	"Non-non"
"EGFR"	"RING1"	"12"	"0.919805639689783"	"Non-non"
"EGFR"	"FHL1"	"13"	"0.922806164153632"	"Sig-non"
"EGFR"	"PCAF"	"14"	"0.924963425626311"	"Sig-non"
"EGFR"	"WDR12"	"15"	"0.928078131751401"	"Sig-non"
"EGFR"	"MAPK1"	"16"	"0.933876250363916"	"Sig-non"
"EGFR"	"MAPK3"	"17"	"0.936724151314396"	"Sig-non"
"EGFR"	"TCF3"	"18"	"0.939694359922654"	"Sig-non"
"EGFR"	"RBX1"	"19"	"0.94018585303239"	"Non-non"
"EGFR"	"SKP2"	"20"	"0.940778316905841"	"Sig-non"
"EGFR"	"CUL1"	"21"	"0.945863295427402"	"Non-non"
"EGFR"	"MEF2C"	"22"	"0.946363806539162"	"Sig-non"
"EGFR"	"LEF1"	"23"	"0.952119344721623"	"Sig-non"
"EGFR"	"CDK2"	"24"	"0.952365454484367"	"Sig-non"
"EGFR"	"YY1"	"25"	"0.958826988761166"	"Sig-non"
"EGFR"	"SMAD4"	"26"	"0.960171936871741"	"Sig-non"
"EGFR"	"SMAD3"	"27"	"0.960194577810525"	"Sig-non"
"EGFR"	"TLE1"	"28"	"0.960737436991811"	"Non-non"
"EGFR"	"HEY2"	"29"	"0.962598641504897"	"Sig-non"
"EGFR"	"NFKBIA"	"30"	"0.963292393752893"	"Sig-non"
"EGFR"	"RELA"	"31"	"0.964459870154118"	"Non-non"
"EGFR"	"JAK2"	"32"	"0.964733651730031"	"Sig-non"
"EGFR"	"STAT3"	"33"	"0.966195029792159"	"Sig-non"
"EGFR"	"HES1"	"34"	"0.966329265240522"	"Sig-non"
"EGFR"	"HDAC2"	"35"	"0.966601066904435"	"Sig-non"
"EGFR"	"SAP30"	"36"	"0.96844502949511"	"Sig-non"
"EGFR"	"CIR"	"37"	"0.96953567727966"	"Non-non"
"EGFR"	"HDAC1"	"38"	"0.970021900191727"	"Sig-non"
"EGFR"	"NCOR1"	"39"	"0.970469722413564"	"Sig-non"
"EGFR"	"NCOR2"	"40"	"0.970665313396421"	"Sig-non"
"EGFR"	"SNW1"	"41"	"0.970908866133916"	"Non-non"
"EGFR"	"MAML1"	"42"	"0.972212742743056"	"Sig-non"
"EGFR"	"MAML3"	"43"	"0.972333428880669"	"Non-non"
"EGFR"	"HEY1"	"44"	"0.972463132777126"	"Sig-non"
"EGFR"	"FBXW7"	"45"	"0.973478297111029"	"Non-non"
"EGFR"	"SKP1"	"46"	"0.973714728465392"	"Non-non"
"EGFR"	"POFUT1"	"47"	"0.973885781677158"	"Sig-non"
"EGFR"	"MFNG"	"48"	"0.974660635474542"	"Sig-non"
"EGFR"	"LFNG"	"49"	"0.975380712058289"	"Non-non"
"EGFR"	"TP53"	"50"	"0.975655034862221"	"Sig-non"
"EGFR"	"EP300"	"51"	"0.977270798449725"	"Non-non"
"EGFR"	"ASCL1"	"52"	"0.978013084809466"	"Sig-non"
"EGFR"	"NOV"	"53"	"0.978192109426256"	"Sig-non"
"EGFR"	"CNTN1"	"54"	"0.978827790195885"	"Non-non"
"EGFR"	"FURIN"	"55"	"0.97896871989066"	"Non-non"
"EGFR"	"AKT1"	"56"	"0.979824038825994"	"Non-non"
"EGFR"	"PIK3R2"	"57"	"0.980425572723716"	"Sig-non"
"EGFR"	"PIK3R1"	"58"	"0.980793128823891"	"Sig-non"
"EGFR"	"APP"	"59"	"0.980921862328979"	"Sig-non"
"EGFR"	"ITCH"	"60"	"0.981137277492806"	"Sig-non"
"EGFR"	"NUMB"	"61"	"0.98192927353499"	"Sig-non"
"EGFR"	"GSK3B"	"62"	"0.981981113399568"	"Non-non"
"EGFR"	"ADAM17"	"63"	"0.983690656811277"	"Sig-non"
"EGFR"	"ADAM10"	"64"	"0.984208010795785"	"Non-non"
"EGFR"	"NCSTN"	"65"	"0.984814162576205"	"Non-non"
"EGFR"	"APH1B"	"66"	"0.984889763639642"	"Sig-non"
