"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"Net_316"	"Net_316"	"1"	"0.946402883009135"	"Non-non"
"AKAP13"	"AKAP12"	"2"	"0.96271004837105"	"Sig-non"
"AKAP13"	"AKAP11"	"3"	"0.964060131360587"	"Sig-non"
"AKAP13"	"AKAP7"	"4"	"0.965238054279297"	"Sig-non"
"AKAP13"	"AKAP8"	"5"	"0.965669478840241"	"Sig-non"
"AKAP13"	"AKAP9"	"6"	"0.965863647093959"	"Non-non"
"AKAP13"	"AKAP10"	"7"	"0.968746193443721"	"Sig-non"
"AKAP13"	"AKAP6"	"8"	"0.973310287429135"	"Non-non"
"AKAP13"	"AKAP5"	"9"	"0.974104397835916"	"Non-non"
"AKAP13"	"AKAP4"	"10"	"0.977511294782199"	"Non-non"
"AKAP13"	"AKAP3"	"11"	"0.978777116471027"	"Non-non"
"AKAP13"	"AKAP1"	"12"	"0.978886385760499"	"Sig-non"
"AKAP13"	"PRKCA"	"13"	"0.979451598797779"	"Sig-non"
"AKAP13"	"CALM1"	"14"	"0.980308203766315"	"Sig-non"
"AKAP13"	"GNAL"	"15"	"0.980449292510427"	"Non-non"
"AKAP13"	"GNB3"	"16"	"0.980855955502956"	"Non-non"
"AKAP13"	"PDE1A"	"17"	"0.980984232961985"	"Non-non"
"AKAP13"	"PRKAR1B"	"18"	"0.981826354173065"	"Sig-non"
"AKAP13"	"PRKAR1A"	"19"	"0.982905803180043"	"Sig-non"
"AKAP13"	"PRKACG"	"20"	"0.983371769557877"	"Non-non"
"AKAP13"	"PRKACB"	"21"	"0.983620648720633"	"Sig-non"
"AKAP13"	"PRKACA"	"22"	"0.98371632195564"	"Sig-non"
"AKAP13"	"PRKAR2B"	"23"	"0.985230065584746"	"Sig-non"
"AKAP13"	"PRKAR2A"	"24"	"0.985323179954389"	"Sig-non"
"AKAP13"	"SLC9A1"	"25"	"0.985513471858814"	"Sig-non"
"AKAP13"	"RHOA"	"26"	"0.986818659889859"	"Sig-non"
"AKAP13"	"ARHGEF1"	"27"	"0.988420976882653"	"Non-non"
"AKAP13"	"GNA13"	"28"	"0.988475063746866"	"Non-non"
"AKAP13"	"GNA12"	"29"	"0.988987081015284"	"Non-non"
"AKAP13"	"PRKD3"	"30"	"0.990280189233684"	"Sig-non"
"AKAP13"	"PRKCB1"	"31"	"0.99219908926547"	"Sig-non"
"AKAP13"	"PRKCZ"	"32"	"0.992765315414838"	"Sig-non"
"AKAP13"	"PRKCQ"	"33"	"0.993332282270989"	"Sig-non"
"AKAP13"	"PRKD1"	"34"	"0.993680484397208"	"Sig-non"
"AKAP13"	"PRKCH"	"35"	"0.993824049132211"	"Sig-non"
"AKAP13"	"PRKCI"	"36"	"0.993867015370223"	"Sig-non"
"AKAP13"	"PRKCE"	"37"	"0.993957821683907"	"Non-non"
"AKAP13"	"PRKCG"	"38"	"0.993968453721687"	"Non-non"
"AKAP13"	"PRKCD"	"39"	"0.994093444730142"	"Sig-non"
"AKAP13"	"PPP3CC"	"40"	"0.99411444746955"	"Sig-non"
"AKAP13"	"PPP3CA"	"41"	"0.994418965038252"	"Non-non"
"AKAP13"	"RRAS"	"42"	"0.994741890018163"	"Sig-non"
"AKAP13"	"KRAS"	"43"	"0.995365085025535"	"Sig-non"
"AKAP13"	"NRAS"	"44"	"0.995393755364656"	"Sig-non"
"AKAP13"	"HRAS"	"45"	"0.995401994168891"	"Non-non"
"AKAP13"	"ITPR1"	"46"	"0.995484169720208"	"Sig-non"
"AKAP13"	"PLCB3"	"47"	"0.995562631378345"	"Non-non"
"AKAP13"	"GNA15"	"48"	"0.995722806280072"	"Sig-non"
"AKAP13"	"GNA14"	"49"	"0.995781839699879"	"Sig-non"
"AKAP13"	"GNA11"	"50"	"0.995994761497378"	"Sig-non"
"AKAP13"	"GNAQ"	"51"	"0.996199778423459"	"Sig-non"
"AKAP13"	"KCNJ3"	"52"	"0.996200687129951"	"Sig-non"
"AKAP13"	"ADCY9"	"53"	"0.996546927001389"	"Sig-non"
"AKAP13"	"ADCY8"	"54"	"0.996568875425482"	"Non-non"
"AKAP13"	"ADCY7"	"55"	"0.996593904468689"	"Sig-non"
"AKAP13"	"ADCY6"	"56"	"0.996639935089742"	"Sig-non"
"AKAP13"	"ADCY3"	"57"	"0.996655853848432"	"Sig-non"
"AKAP13"	"ADCY2"	"58"	"0.996676096953906"	"Non-non"
"AKAP13"	"ADCY1"	"59"	"0.996698740381621"	"Non-non"
"AKAP13"	"GNAI3"	"60"	"0.996918218958964"	"Sig-non"
"AKAP13"	"GNAO1"	"61"	"0.996977334167771"	"Non-non"
"AKAP13"	"GNAI2"	"62"	"0.99706823425588"	"Sig-non"
"AKAP13"	"GNAZ"	"63"	"0.997109394964551"	"Sig-non"
"AKAP13"	"GNAS"	"64"	"0.997114277008574"	"Sig-non"
"AKAP13"	"GNG13"	"65"	"0.997124802776171"	"Non-non"
"AKAP13"	"GNG12"	"66"	"0.997145653248193"	"Non-non"
"AKAP13"	"GNG11"	"67"	"0.997207436062486"	"Sig-non"
"AKAP13"	"GNG7"	"68"	"0.997283163520185"	"Non-non"
"AKAP13"	"GNG5"	"69"	"0.997303537495573"	"Non-non"
"AKAP13"	"GNG4"	"70"	"0.99737345387433"	"Sig-non"
"AKAP13"	"GNG3"	"71"	"0.997389846769861"	"Non-non"
"AKAP13"	"GNGT1"	"72"	"0.99759181193691"	"Sig-non"
"AKAP13"	"GNB5"	"73"	"0.997622701484455"	"Sig-non"
"AKAP13"	"GNB2"	"74"	"0.997799623016546"	"Sig-non"
"AKAP13"	"GNB1"	"75"	"0.997829890510165"	"Sig-non"
"AKAP13"	"PDE8B"	"76"	"0.997857942547654"	"Sig-non"
"AKAP13"	"PDE8A"	"77"	"0.997928131538229"	"Sig-non"
"AKAP13"	"PDE7B"	"78"	"0.997950694694518"	"Non-non"
"AKAP13"	"PDE4D"	"79"	"0.99797100751222"	"Sig-non"
"AKAP13"	"PDE4C"	"80"	"0.997992887210146"	"Sig-non"
"AKAP13"	"PDE4B"	"81"	"0.998001870578732"	"Sig-non"
"AKAP13"	"PDE4A"	"82"	"0.998024654114962"	"Sig-non"
"AKAP13"	"PDE1C"	"83"	"0.998034444446275"	"Sig-non"
"AKAP13"	"PDE1B"	"84"	"0.998080676939421"	"Non-non"
"AKAP13"	"GNAI1"	"85"	"0.998094761672796"	"Non-non"
"AKAP12"	"AKAP11"	"86"	"0.998130745026897"	"Sig-sig"
"AKAP12"	"AKAP7"	"87"	"0.998138970269996"	"Sig-sig"
"AKAP12"	"AKAP8"	"88"	"0.998165288626412"	"Sig-sig"
"AKAP12"	"AKAP9"	"89"	"0.99816622493996"	"Sig-non"
"AKAP12"	"AKAP10"	"90"	"0.998324018785892"	"Sig-sig"
"AKAP12"	"AKAP6"	"91"	"0.998329648124984"	"Sig-non"
"AKAP12"	"AKAP5"	"92"	"0.998346697955524"	"Sig-non"
"AKAP12"	"AKAP4"	"93"	"0.998355860150523"	"Sig-non"
"AKAP12"	"AKAP3"	"94"	"0.998395362419581"	"Sig-non"
"AKAP12"	"AKAP1"	"95"	"0.998406817860493"	"Sig-sig"
"AKAP12"	"PRKCA"	"96"	"0.998440108824963"	"Sig-sig"
"AKAP12"	"CALM1"	"97"	"0.998478131996879"	"Sig-sig"
"AKAP12"	"GNAL"	"98"	"0.998520154400247"	"Sig-non"
"AKAP12"	"GNB3"	"99"	"0.998522421862053"	"Sig-non"
"AKAP12"	"PDE1A"	"100"	"0.998532751225537"	"Sig-non"
"AKAP12"	"PRKAR1B"	"101"	"0.998536150430104"	"Sig-sig"
"AKAP12"	"PRKAR1A"	"102"	"0.998557697825381"	"Sig-sig"
"AKAP12"	"PRKACG"	"103"	"0.998574098328347"	"Sig-non"
"AKAP12"	"PRKACB"	"104"	"0.998587446083205"	"Sig-sig"
"AKAP12"	"PRKACA"	"105"	"0.998589031771136"	"Sig-sig"
"AKAP12"	"PRKAR2B"	"106"	"0.998646697616612"	"Sig-sig"
"AKAP12"	"PRKAR2A"	"107"	"0.99865309974335"	"Sig-sig"
"AKAP12"	"SLC9A1"	"108"	"0.998678470451936"	"Sig-sig"
"AKAP12"	"RHOA"	"109"	"0.998678782256553"	"Sig-sig"
"AKAP12"	"ARHGEF1"	"110"	"0.998698992366117"	"Sig-non"
"AKAP12"	"GNA13"	"111"	"0.998713442352579"	"Sig-non"
"AKAP12"	"GNA12"	"112"	"0.998727865643617"	"Sig-non"
"AKAP12"	"PRKD3"	"113"	"0.998742535411574"	"Sig-sig"
"AKAP12"	"PRKCB1"	"114"	"0.998747913675238"	"Sig-sig"
"AKAP12"	"PRKCZ"	"115"	"0.998812222511765"	"Sig-sig"
"AKAP12"	"PRKCQ"	"116"	"0.998830113699674"	"Sig-sig"
"AKAP12"	"PRKD1"	"117"	"0.99886427006167"	"Sig-sig"
"AKAP12"	"PRKCH"	"118"	"0.998921848214636"	"Sig-sig"
"AKAP12"	"PRKCI"	"119"	"0.998926719329259"	"Sig-sig"
"AKAP12"	"PRKCE"	"120"	"0.998967359942613"	"Sig-non"
"AKAP12"	"PRKCG"	"121"	"0.998999650842047"	"Sig-non"
"AKAP12"	"PRKCD"	"122"	"0.999008536083645"	"Sig-sig"
"AKAP12"	"PPP3CC"	"123"	"0.999021142891569"	"Sig-sig"
"AKAP12"	"PPP3CA"	"124"	"0.999061996907324"	"Sig-non"
"AKAP12"	"RRAS"	"125"	"0.999093707081375"	"Sig-sig"
"AKAP12"	"KRAS"	"126"	"0.999096180735057"	"Sig-sig"
"AKAP12"	"NRAS"	"127"	"0.99910122056385"	"Sig-sig"
"AKAP12"	"HRAS"	"128"	"0.999110151063151"	"Sig-non"
"AKAP12"	"ITPR1"	"129"	"0.999115532945307"	"Sig-sig"
"AKAP12"	"PLCB3"	"130"	"0.999122169851092"	"Sig-non"
"AKAP12"	"GNA15"	"131"	"0.999158138099233"	"Sig-sig"
"AKAP12"	"GNA14"	"132"	"0.999159109003205"	"Sig-sig"
"AKAP12"	"GNA11"	"133"	"0.999161756826169"	"Sig-sig"
"AKAP12"	"GNAQ"	"134"	"0.999165068676833"	"Sig-sig"
"AKAP12"	"KCNJ3"	"135"	"0.999168596218756"	"Sig-sig"
"AKAP12"	"ADCY9"	"136"	"0.999174994004923"	"Sig-sig"
"AKAP12"	"ADCY8"	"137"	"0.999183610829133"	"Sig-non"
"AKAP12"	"ADCY7"	"138"	"0.999195356640542"	"Sig-sig"
"AKAP12"	"ADCY6"	"139"	"0.999211728790563"	"Sig-sig"
"AKAP12"	"ADCY3"	"140"	"0.999251500802696"	"Sig-sig"
"AKAP12"	"ADCY2"	"141"	"0.99930436781919"	"Sig-non"
"AKAP12"	"ADCY1"	"142"	"0.99930584689046"	"Sig-non"
"AKAP12"	"GNAI3"	"143"	"0.999308613145764"	"Sig-sig"
"AKAP12"	"GNAO1"	"144"	"0.999321101142979"	"Sig-non"
"AKAP12"	"GNAI2"	"145"	"0.999355263025727"	"Sig-sig"
"AKAP12"	"GNAZ"	"146"	"0.999356362520435"	"Sig-sig"
"AKAP12"	"GNAS"	"147"	"0.999358687516033"	"Sig-sig"
"AKAP12"	"GNG13"	"148"	"0.999362878711891"	"Sig-non"
"AKAP12"	"GNG12"	"149"	"0.999378214403397"	"Sig-non"
"AKAP12"	"GNG11"	"150"	"0.99938136377859"	"Sig-sig"
"AKAP12"	"GNG7"	"151"	"0.999384560997166"	"Sig-non"
"AKAP12"	"GNG5"	"152"	"0.999387118142167"	"Sig-non"
"AKAP12"	"GNG4"	"153"	"0.999396557584706"	"Sig-sig"
"AKAP12"	"GNG3"	"154"	"0.999398390169044"	"Sig-non"
"AKAP12"	"GNGT1"	"155"	"0.999399037386295"	"Sig-sig"
"AKAP12"	"GNB5"	"156"	"0.999421091464942"	"Sig-sig"
"AKAP12"	"GNB2"	"157"	"0.999422550379723"	"Sig-sig"
"AKAP12"	"GNB1"	"158"	"0.999430005204502"	"Sig-sig"
"AKAP12"	"PDE8B"	"159"	"0.999440219549381"	"Sig-sig"
"AKAP12"	"PDE8A"	"160"	"0.999441141368231"	"Sig-sig"
"AKAP12"	"PDE7B"	"161"	"0.999447897597581"	"Sig-non"
"AKAP12"	"PDE4D"	"162"	"0.999454817640747"	"Sig-sig"
"AKAP12"	"PDE4C"	"163"	"0.999459739102101"	"Sig-sig"
"AKAP12"	"PDE4B"	"164"	"0.999461504226096"	"Sig-sig"
"AKAP12"	"PDE4A"	"165"	"0.999463806140763"	"Sig-sig"
"AKAP12"	"PDE1C"	"166"	"0.999496918089403"	"Sig-sig"
"AKAP12"	"PDE1B"	"167"	"0.999502521218839"	"Sig-non"
"AKAP12"	"GNAI1"	"168"	"0.999515619634227"	"Sig-non"
"AKAP11"	"AKAP7"	"169"	"0.999532549245297"	"Sig-sig"
"AKAP11"	"AKAP8"	"170"	"0.999534535167302"	"Sig-sig"
"AKAP11"	"AKAP9"	"171"	"0.999535010368821"	"Sig-non"
"AKAP11"	"AKAP10"	"172"	"0.999542261906485"	"Sig-sig"
"AKAP11"	"AKAP6"	"173"	"0.999545975255121"	"Sig-non"
"AKAP11"	"AKAP5"	"174"	"0.999555908133852"	"Sig-non"
"AKAP11"	"AKAP4"	"175"	"0.999568554104025"	"Sig-non"
"AKAP11"	"AKAP3"	"176"	"0.999576786563267"	"Sig-non"
"AKAP11"	"AKAP1"	"177"	"0.999583778357371"	"Sig-sig"
"AKAP11"	"PRKCA"	"178"	"0.999589340646225"	"Sig-sig"
"AKAP11"	"CALM1"	"179"	"0.999592729077959"	"Sig-sig"
"AKAP11"	"GNAL"	"180"	"0.999602378975506"	"Sig-non"
"AKAP11"	"GNB3"	"181"	"0.999608467322499"	"Sig-non"
"AKAP11"	"PDE1A"	"182"	"0.999615030586603"	"Sig-non"
"AKAP11"	"PRKAR1B"	"183"	"0.999616557503133"	"Sig-sig"
"AKAP11"	"PRKAR1A"	"184"	"0.999627344848906"	"Sig-sig"
"AKAP11"	"PRKACG"	"185"	"0.99962929110981"	"Sig-non"
"AKAP11"	"PRKACB"	"186"	"0.999638626237697"	"Sig-sig"
"AKAP11"	"PRKACA"	"187"	"0.999639418619354"	"Sig-sig"
"AKAP11"	"PRKAR2B"	"188"	"0.999643790165698"	"Sig-sig"
"AKAP11"	"PRKAR2A"	"189"	"0.999646619535817"	"Sig-sig"
"AKAP11"	"SLC9A1"	"190"	"0.999647348287096"	"Sig-sig"
"AKAP11"	"RHOA"	"191"	"0.999647708054823"	"Sig-sig"
"AKAP11"	"ARHGEF1"	"192"	"0.999654988158297"	"Sig-non"
"AKAP11"	"GNA13"	"193"	"0.999660211677957"	"Sig-non"
"AKAP11"	"GNA12"	"194"	"0.99966579403776"	"Sig-non"
"AKAP11"	"PRKD3"	"195"	"0.99967069817207"	"Sig-sig"
"AKAP11"	"PRKCB1"	"196"	"0.99967083829622"	"Sig-sig"
"AKAP11"	"PRKCZ"	"197"	"0.999680668440325"	"Sig-sig"
"AKAP11"	"PRKCQ"	"198"	"0.99968269718257"	"Sig-sig"
"AKAP11"	"PRKD1"	"199"	"0.999688048283086"	"Sig-sig"
"AKAP11"	"PRKCH"	"200"	"0.999693269074644"	"Sig-sig"
"AKAP11"	"PRKCI"	"201"	"0.999697533147309"	"Sig-sig"
"AKAP11"	"PRKCE"	"202"	"0.999699074628713"	"Sig-non"
"AKAP11"	"PRKCG"	"203"	"0.999700428196817"	"Sig-non"
"AKAP11"	"PRKCD"	"204"	"0.999708282026188"	"Sig-sig"
"AKAP11"	"PPP3CC"	"205"	"0.999711871474017"	"Sig-sig"
"AKAP11"	"PPP3CA"	"206"	"0.9997123277151"	"Sig-non"
"AKAP11"	"RRAS"	"207"	"0.999713221474316"	"Sig-sig"
"AKAP11"	"KRAS"	"208"	"0.999714477411533"	"Sig-sig"
"AKAP11"	"NRAS"	"209"	"0.999715324813758"	"Sig-sig"
"AKAP11"	"HRAS"	"210"	"0.99971559836133"	"Sig-non"
"AKAP11"	"ITPR1"	"211"	"0.999715836450175"	"Sig-sig"
"AKAP11"	"PLCB3"	"212"	"0.999723554542032"	"Sig-non"
"AKAP11"	"GNA15"	"213"	"0.999726848294929"	"Sig-sig"
"AKAP11"	"GNA14"	"214"	"0.999734242227119"	"Sig-sig"
"AKAP11"	"GNA11"	"215"	"0.999735275617967"	"Sig-sig"
"AKAP11"	"GNAQ"	"216"	"0.999736673333073"	"Sig-sig"
"AKAP11"	"KCNJ3"	"217"	"0.999737099165842"	"Sig-sig"
"AKAP11"	"ADCY9"	"218"	"0.999744376638087"	"Sig-sig"
"AKAP11"	"ADCY8"	"219"	"0.999749230214629"	"Sig-non"
"AKAP11"	"ADCY7"	"220"	"0.999755875960839"	"Sig-sig"
"AKAP11"	"ADCY6"	"221"	"0.999756446224447"	"Sig-sig"
"AKAP11"	"ADCY3"	"222"	"0.999763836769938"	"Sig-sig"
"AKAP11"	"ADCY2"	"223"	"0.999764093046441"	"Sig-non"
"AKAP11"	"ADCY1"	"224"	"0.999764264403019"	"Sig-non"
"AKAP11"	"GNAI3"	"225"	"0.99976548984127"	"Sig-sig"
"AKAP11"	"GNAO1"	"226"	"0.999769284711524"	"Sig-non"
"AKAP11"	"GNAI2"	"227"	"0.999773555934168"	"Sig-sig"
"AKAP11"	"GNAZ"	"228"	"0.999774583255541"	"Sig-sig"
"AKAP11"	"GNAS"	"229"	"0.99977497029457"	"Sig-sig"
"AKAP11"	"GNG13"	"230"	"0.999775824065968"	"Sig-non"
"AKAP11"	"GNG12"	"231"	"0.999776586799665"	"Sig-non"
"AKAP11"	"GNG11"	"232"	"0.9997809779867"	"Sig-sig"
"AKAP11"	"GNG7"	"233"	"0.999781124371598"	"Sig-non"
"AKAP11"	"GNG5"	"234"	"0.999781642052845"	"Sig-non"
"AKAP11"	"GNG4"	"235"	"0.999782508105293"	"Sig-sig"
"AKAP11"	"GNG3"	"236"	"0.999782659478802"	"Sig-non"
"AKAP11"	"GNGT1"	"237"	"0.999792325348094"	"Sig-sig"
"AKAP11"	"GNB5"	"238"	"0.999792774708297"	"Sig-sig"
"AKAP11"	"GNB2"	"239"	"0.999793855933777"	"Sig-sig"
"AKAP11"	"GNB1"	"240"	"0.999793864308425"	"Sig-sig"
"AKAP11"	"PDE8B"	"241"	"0.999795397549435"	"Sig-sig"
"AKAP11"	"PDE8A"	"242"	"0.999798047344201"	"Sig-sig"
"AKAP11"	"PDE7B"	"243"	"0.999801061590873"	"Sig-non"
