"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"IL2RG"	"JAK1"	"76"	"0.683366199095113"	"Sig-non"
"IL2RG"	"SHC1"	"77"	"0.683402395044498"	"Sig-non"
"IL2RG"	"GRB2"	"78"	"0.684992112619173"	"Non-non"
"IL2RG"	"SOS1"	"79"	"0.685855821405577"	"Sig-non"
"IL2RG"	"SOS2"	"80"	"0.686337802974354"	"Sig-non"
"IL2RG"	"HRAS"	"81"	"0.68664048251033"	"Non-non"
"IL2RG"	"KRAS"	"82"	"0.686838815024044"	"Sig-non"
"IL2RG"	"MRAS"	"83"	"0.687901918265333"	"Non-non"
"IL2RG"	"NRAS"	"84"	"0.687970859309804"	"Sig-non"
"IL2RG"	"RRAS"	"85"	"0.688468500829388"	"Sig-non"
"IL2RG"	"RRAS2"	"86"	"0.688469338345194"	"Sig-non"
"IL2RG"	"RAF1"	"87"	"0.688874618655643"	"Non-non"
"IL2RG"	"MAP2K1"	"88"	"0.689424640556815"	"Non-non"
"IL2RG"	"MAP2K2"	"89"	"0.690333662430412"	"Sig-non"
"IL2RG"	"MAPK1"	"90"	"0.690425848690148"	"Sig-non"
"IL2RG"	"MAPK3"	"91"	"0.691172314462564"	"Sig-non"
"IL2RG"	"FOS"	"92"	"0.691440610631359"	"Sig-non"
"IL2RG"	"JUN"	"93"	"0.692082737694662"	"Sig-non"
"IL2RG"	"PTPN11"	"94"	"0.69222329597636"	"Non-non"
"IL2RG"	"PIK3C2A"	"95"	"0.693586089650725"	"Sig-non"
"IL2RG"	"PIK3C2B"	"96"	"0.694054747235312"	"Sig-non"
"IL2RG"	"PIK3C2G"	"97"	"0.694387157231528"	"Non-non"
"IL2RG"	"PIK3C3"	"98"	"0.694799584140925"	"Non-non"
"IL2RG"	"PIK3CA"	"99"	"0.695390238771969"	"Non-non"
"IL2RG"	"PIK3CB"	"100"	"0.696090858170851"	"Non-non"
"IL2RG"	"PIK3CD"	"101"	"0.69629317422011"	"Sig-non"
"IL2RG"	"PIK3CG"	"102"	"0.697385712908593"	"Sig-non"
"IL2RG"	"PIK3R1"	"103"	"0.69749423928402"	"Sig-non"
"IL2RG"	"PIK3R2"	"104"	"0.698135080092028"	"Sig-non"
"IL2RG"	"PIK3R3"	"105"	"0.698443518821419"	"Non-non"
"IL2RG"	"PIK3R5"	"106"	"0.698576632896487"	"Non-non"
"JAK3"	"STAT5A"	"107"	"0.699335696238116"	"Sig-non"
"JAK3"	"STAT5B"	"108"	"0.699336194960558"	"Sig-non"
"JAK3"	"JAK1"	"109"	"0.699985480315364"	"Sig-non"
"JAK3"	"SHC1"	"110"	"0.70014962029153"	"Sig-non"
"JAK3"	"GRB2"	"111"	"0.700591329087222"	"Non-non"
"JAK3"	"SOS1"	"112"	"0.700609134164432"	"Sig-non"
"JAK3"	"SOS2"	"113"	"0.700963512426507"	"Sig-non"
"JAK3"	"HRAS"	"114"	"0.701392146521058"	"Non-non"
"JAK3"	"KRAS"	"115"	"0.702191147044491"	"Sig-non"
"JAK3"	"MRAS"	"116"	"0.702337378548086"	"Non-non"
"JAK3"	"NRAS"	"117"	"0.702352482876324"	"Sig-non"
"JAK3"	"RRAS"	"118"	"0.702383022517405"	"Sig-non"
"JAK3"	"RRAS2"	"119"	"0.702870581649203"	"Sig-non"
