"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"Net_324"	"Net_324"	"1"	"0.774676655251213"	"Non-non"
"HSPA1A"	"MAPK10"	"2"	"0.780287096831408"	"Sig-non"
"HSPA1A"	"RIPK1"	"3"	"0.787826917411471"	"Sig-non"
"HSPA1A"	"TNFRSF1A"	"4"	"0.816479441595445"	"Sig-non"
"HSPA1A"	"NFKB1"	"5"	"0.817288557456144"	"Sig-non"
"HSPA1A"	"CASP9"	"6"	"0.825490255530706"	"Non-non"
"HSPA1A"	"APAF1"	"7"	"0.829311517379713"	"Non-non"
"HSPA1A"	"CYCS"	"8"	"0.831192846212274"	"Sig-non"
"HSPA1A"	"AIFM1"	"9"	"0.835929197844685"	"Sig-non"
"HSPA1A"	"FAS"	"10"	"0.839236614428176"	"Sig-non"
"HSPA1A"	"CASP7"	"11"	"0.841016333153313"	"Sig-non"
"HSPA1A"	"CASP6"	"12"	"0.842967010441929"	"Sig-non"
"HSPA1A"	"CASP2"	"13"	"0.860445775128651"	"Non-non"
"HSPA1A"	"BID"	"14"	"0.863304218490085"	"Sig-non"
"HSPA1A"	"FADD"	"15"	"0.864578090196462"	"Sig-non"
"HSPA1A"	"CASP3"	"16"	"0.869264175921175"	"Sig-non"
"HSPA1A"	"CASP8"	"17"	"0.873243403758027"	"Sig-non"
"MAPK10"	"RIPK1"	"18"	"0.875333053043064"	"Sig-sig"
"MAPK10"	"TNFRSF1A"	"19"	"0.87715111523106"	"Sig-sig"
"MAPK10"	"NFKB1"	"20"	"0.879072330750072"	"Sig-sig"
"MAPK10"	"CASP9"	"21"	"0.887191468683453"	"Sig-non"
"MAPK10"	"APAF1"	"22"	"0.887913173541269"	"Sig-non"
"MAPK10"	"CYCS"	"23"	"0.897769575442854"	"Sig-sig"
"MAPK10"	"AIFM1"	"24"	"0.900341281752643"	"Sig-sig"
"MAPK10"	"FAS"	"25"	"0.901462942032405"	"Sig-sig"
"MAPK10"	"CASP7"	"26"	"0.905773624375978"	"Sig-sig"
"MAPK10"	"CASP6"	"27"	"0.908207242633579"	"Sig-sig"
"MAPK10"	"CASP2"	"28"	"0.908716928050583"	"Sig-non"
"MAPK10"	"BID"	"29"	"0.918007220653531"	"Sig-sig"
"MAPK10"	"FADD"	"30"	"0.924238565906863"	"Sig-sig"
"MAPK10"	"CASP3"	"31"	"0.928239214057452"	"Sig-sig"
"MAPK10"	"CASP8"	"32"	"0.930601528465992"	"Sig-sig"
"RIPK1"	"TNFRSF1A"	"33"	"0.931363842102787"	"Sig-sig"
"RIPK1"	"NFKB1"	"34"	"0.932818110270435"	"Sig-sig"
"RIPK1"	"CASP9"	"35"	"0.936968919720537"	"Sig-non"
"RIPK1"	"APAF1"	"36"	"0.937481312110494"	"Sig-non"
"RIPK1"	"CYCS"	"37"	"0.937611498075189"	"Sig-sig"
"RIPK1"	"AIFM1"	"38"	"0.93968939868426"	"Sig-sig"
"RIPK1"	"FAS"	"39"	"0.940185407439189"	"Sig-sig"
"RIPK1"	"CASP7"	"40"	"0.942620969058437"	"Sig-sig"
"RIPK1"	"CASP6"	"41"	"0.945055821689905"	"Sig-sig"
"RIPK1"	"CASP2"	"42"	"0.945375385039476"	"Sig-non"
"RIPK1"	"BID"	"43"	"0.945522720569627"	"Sig-sig"
"RIPK1"	"FADD"	"44"	"0.9455481982468"	"Sig-sig"
"RIPK1"	"CASP3"	"45"	"0.945665980167776"	"Sig-sig"
"RIPK1"	"CASP8"	"46"	"0.946086996745609"	"Sig-sig"
"TNFRSF1A"	"NFKB1"	"47"	"0.946754547255402"	"Sig-sig"
"TNFRSF1A"	"CASP9"	"48"	"0.947787342175496"	"Sig-non"
"TNFRSF1A"	"APAF1"	"49"	"0.948098584855996"	"Sig-non"
"TNFRSF1A"	"CYCS"	"50"	"0.949124876791484"	"Sig-sig"
"TNFRSF1A"	"AIFM1"	"51"	"0.951361079048455"	"Sig-sig"
"TNFRSF1A"	"FAS"	"52"	"0.951884248287959"	"Sig-sig"
"TNFRSF1A"	"CASP7"	"53"	"0.951915703257267"	"Sig-sig"
"TNFRSF1A"	"CASP6"	"54"	"0.953740570647694"	"Sig-sig"
"TNFRSF1A"	"CASP2"	"55"	"0.954154999770441"	"Sig-non"
"TNFRSF1A"	"BID"	"56"	"0.954734392516845"	"Sig-sig"
"TNFRSF1A"	"FADD"	"57"	"0.954772101143795"	"Sig-sig"
"TNFRSF1A"	"CASP3"	"58"	"0.955672072351102"	"Sig-sig"
"TNFRSF1A"	"CASP8"	"59"	"0.95691292463461"	"Sig-sig"
"NFKB1"	"CASP9"	"60"	"0.957815051876527"	"Sig-non"
"NFKB1"	"APAF1"	"61"	"0.959086008508341"	"Sig-non"
"NFKB1"	"CYCS"	"62"	"0.960396515593207"	"Sig-sig"
