"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"Net_307"	"Net_307"	"1"	"0.827072729885579"	"Non-non"
"JUN"	"MAP3K7"	"2"	"0.841502867855885"	"Sig-non"
"JUN"	"MAPK8"	"3"	"0.867964685995753"	"Non-non"
"JUN"	"MAP2K4"	"4"	"0.868746868767447"	"Sig-non"
"JUN"	"RB1"	"5"	"0.872139618928103"	"Sig-non"
"JUN"	"LMNB2"	"6"	"0.881851057190438"	"Sig-non"
"JUN"	"LMNB1"	"7"	"0.883842257638092"	"Sig-non"
"JUN"	"LMNA"	"8"	"0.88472757727658"	"Sig-non"
"JUN"	"CASP6"	"9"	"0.888152745320717"	"Sig-non"
"JUN"	"PRKDC"	"10"	"0.89109385481938"	"Sig-non"
"JUN"	"DFFB"	"11"	"0.907136314162968"	"Non-non"
"JUN"	"DFFA"	"12"	"0.913572927386981"	"Sig-non"
"JUN"	"SPTAN1"	"13"	"0.91569220103597"	"Sig-non"
"JUN"	"ARHGDIB"	"14"	"0.92140136305201"	"Sig-non"
"JUN"	"PAK2"	"15"	"0.92161305139927"	"Sig-non"
"JUN"	"PAK1"	"16"	"0.924240269851752"	"Sig-non"
"JUN"	"PARP1"	"17"	"0.92657676069442"	"Sig-non"
"JUN"	"CASP7"	"18"	"0.927226399066023"	"Sig-non"
"JUN"	"CASP10"	"19"	"0.932639720339213"	"Non-non"
"JUN"	"RIPK2"	"20"	"0.939969075142343"	"Sig-non"
"JUN"	"CFLAR"	"21"	"0.940897743698444"	"Sig-non"
"JUN"	"CASP8"	"22"	"0.943328638641507"	"Sig-non"
"JUN"	"FAF1"	"23"	"0.94370489731388"	"Sig-non"
"JUN"	"FADD"	"24"	"0.946170188967491"	"Sig-non"
"JUN"	"CASP3"	"25"	"0.946934467245953"	"Sig-non"
"JUN"	"APAF1"	"26"	"0.947412483783411"	"Non-non"
"JUN"	"CASP9"	"27"	"0.947797554114717"	"Non-non"
"JUN"	"BCL2"	"28"	"0.947935591471261"	"Sig-non"
"JUN"	"CYCS"	"29"	"0.949676526896357"	"Sig-non"
"JUN"	"MAPKAPK3"	"30"	"0.950364616079505"	"Non-non"
"JUN"	"MAPKAPK2"	"31"	"0.950894688527198"	"Sig-non"
"JUN"	"IL1A"	"32"	"0.951054660994354"	"Sig-non"
"JUN"	"TNF"	"33"	"0.951352907192939"	"Sig-non"
"JUN"	"HSPB1"	"34"	"0.95319819327074"	"Sig-non"
"JUN"	"FAS"	"35"	"0.955124710646395"	"Sig-non"
"JUN"	"FASLG"	"36"	"0.956450874006175"	"Sig-non"
"JUN"	"DAXX"	"37"	"0.957628821225924"	"Non-non"
"MAP3K7"	"MAPK8"	"38"	"0.958525498526669"	"Sig-non"
"MAP3K7"	"MAP2K4"	"39"	"0.958613739462851"	"Sig-sig"
"MAP3K7"	"RB1"	"40"	"0.95958754700341"	"Sig-sig"
"MAP3K7"	"LMNB2"	"41"	"0.96098239761296"	"Sig-sig"
"MAP3K7"	"LMNB1"	"42"	"0.961616418446022"	"Sig-sig"
"MAP3K7"	"LMNA"	"43"	"0.961971347018786"	"Sig-sig"
"MAP3K7"	"CASP6"	"44"	"0.96368405358612"	"Sig-sig"
"MAP3K7"	"PRKDC"	"45"	"0.965024858175863"	"Sig-sig"
"MAP3K7"	"DFFB"	"46"	"0.967405206144429"	"Sig-non"
"MAP3K7"	"DFFA"	"47"	"0.967883069111948"	"Sig-sig"
"MAP3K7"	"SPTAN1"	"48"	"0.968003781166105"	"Sig-sig"
"MAP3K7"	"ARHGDIB"	"49"	"0.968408415407636"	"Sig-sig"
"MAP3K7"	"PAK2"	"50"	"0.968434856831041"	"Sig-sig"
"MAP3K7"	"PAK1"	"51"	"0.969154035231534"	"Sig-sig"
"MAP3K7"	"PARP1"	"52"	"0.969366214035278"	"Sig-sig"
"MAP3K7"	"CASP7"	"53"	"0.969715482894657"	"Sig-sig"
"MAP3K7"	"CASP10"	"54"	"0.970724135609976"	"Sig-non"
"MAP3K7"	"RIPK2"	"55"	"0.970839969531463"	"Sig-sig"
"MAP3K7"	"CFLAR"	"56"	"0.970869871814871"	"Sig-sig"
"MAP3K7"	"CASP8"	"57"	"0.972200904621097"	"Sig-sig"
"MAP3K7"	"FAF1"	"58"	"0.972213531835231"	"Sig-sig"
"MAP3K7"	"FADD"	"59"	"0.972957958163217"	"Sig-sig"
"MAP3K7"	"CASP3"	"60"	"0.973627101345243"	"Sig-sig"
"MAP3K7"	"APAF1"	"61"	"0.973713778992537"	"Sig-non"
"MAP3K7"	"CASP9"	"62"	"0.973843961788082"	"Sig-non"
"MAP3K7"	"BCL2"	"63"	"0.974635900254095"	"Sig-sig"
"MAP3K7"	"CYCS"	"64"	"0.975010629395118"	"Sig-sig"
"MAP3K7"	"MAPKAPK3"	"65"	"0.975335043010202"	"Sig-non"
"MAP3K7"	"MAPKAPK2"	"66"	"0.97539092665116"	"Sig-sig"
"MAP3K7"	"IL1A"	"67"	"0.975664340264878"	"Sig-sig"
"MAP3K7"	"TNF"	"68"	"0.975754921216373"	"Sig-sig"
"MAP3K7"	"HSPB1"	"69"	"0.975823466811849"	"Sig-sig"
"MAP3K7"	"FAS"	"70"	"0.976484394222236"	"Sig-sig"
"MAP3K7"	"FASLG"	"71"	"0.97653372063846"	"Sig-sig"
"MAP3K7"	"DAXX"	"72"	"0.97672819015057"	"Sig-non"
"MAPK8"	"MAP2K4"	"73"	"0.976755785446144"	"Sig-non"
"MAPK8"	"RB1"	"74"	"0.97686360060986"	"Sig-non"
"MAPK8"	"LMNB2"	"75"	"0.97696678360702"	"Sig-non"
"MAPK8"	"LMNB1"	"76"	"0.977085626422651"	"Sig-non"
"MAPK8"	"LMNA"	"77"	"0.977657625543139"	"Sig-non"
"MAPK8"	"CASP6"	"78"	"0.977831141468191"	"Sig-non"
"MAPK8"	"PRKDC"	"79"	"0.977905692417642"	"Sig-non"
"MAPK8"	"DFFB"	"80"	"0.978199827475073"	"Non-non"
"MAPK8"	"DFFA"	"81"	"0.978246723372812"	"Sig-non"
"MAPK8"	"SPTAN1"	"82"	"0.978341775472481"	"Sig-non"
"MAPK8"	"ARHGDIB"	"83"	"0.978388803121502"	"Sig-non"
"MAPK8"	"PAK2"	"84"	"0.978541879662195"	"Sig-non"
"MAPK8"	"PAK1"	"85"	"0.978698112413607"	"Sig-non"
"MAPK8"	"PARP1"	"86"	"0.978717331758124"	"Sig-non"
"MAPK8"	"CASP7"	"87"	"0.979216086307374"	"Sig-non"
"MAPK8"	"CASP10"	"88"	"0.979897077776657"	"Non-non"
"MAPK8"	"RIPK2"	"89"	"0.98024114413273"	"Sig-non"
"MAPK8"	"CFLAR"	"90"	"0.980294141321877"	"Sig-non"
"MAPK8"	"CASP8"	"91"	"0.980844326850218"	"Sig-non"
"MAPK8"	"FAF1"	"92"	"0.981086180707147"	"Sig-non"
"MAPK8"	"FADD"	"93"	"0.981390564410903"	"Sig-non"
"MAPK8"	"CASP3"	"94"	"0.981410824231057"	"Sig-non"
"MAPK8"	"APAF1"	"95"	"0.981503868771499"	"Non-non"
"MAPK8"	"CASP9"	"96"	"0.9822385599078"	"Non-non"
"MAPK8"	"BCL2"	"97"	"0.982254365709682"	"Sig-non"
"MAPK8"	"CYCS"	"98"	"0.98285111108048"	"Sig-non"
