"Gene1"	"Gene2"	"No"	"Weight"	"Significant"
"Net_72"	"Net_72"	"1"	"0.999983770015594"	"Non-non"
"B3GALT5"	"NAGA"	"2"	"0.999997995284882"	"Non-non"
"B3GALT5"	"A4GALT"	"3"	"0.999999862711373"	"Non-non"
"B3GALT5"	"HEXA"	"4"	"0.999999937436964"	"Non-non"
"B3GALT5"	"HEXB"	"5"	"0.999999985297676"	"Sig-non"
"B3GALT5"	"ST3GAL1"	"6"	"0.999999998685766"	"Sig-non"
"B3GALT5"	"ST3GAL2"	"7"	"0.999999999102028"	"Non-non"
"B3GALT5"	"ST8SIA1"	"8"	"0.999999999584935"	"Non-non"
"B3GALT5"	"FUT9"	"9"	"0.99999999961004"	"Sig-non"
"B3GALT5"	"FUT1"	"10"	"0.999999999652358"	"Sig-non"
"B3GALT5"	"FUT2"	"11"	"0.999999999806035"	"Sig-non"
"B3GALT5"	"GLA"	"12"	"0.999999999920216"	"Non-non"
"B3GALT5"	"B3GALNT1"	"13"	"0.99999999994536"	"Sig-non"
"NAGA"	"A4GALT"	"14"	"0.999999999962033"	"Non-non"
"NAGA"	"HEXA"	"15"	"0.999999999964701"	"Non-non"
"NAGA"	"HEXB"	"16"	"0.999999999991741"	"Sig-non"
"NAGA"	"ST3GAL1"	"17"	"0.999999999995929"	"Sig-non"
"NAGA"	"ST3GAL2"	"18"	"0.999999999996794"	"Non-non"
"NAGA"	"ST8SIA1"	"19"	"0.999999999997447"	"Non-non"
"NAGA"	"FUT9"	"20"	"0.999999999998172"	"Sig-non"
"NAGA"	"FUT1"	"21"	"0.999999999999278"	"Sig-non"
"NAGA"	"FUT2"	"22"	"0.99999999999957"	"Sig-non"
"NAGA"	"GLA"	"23"	"0.999999999999903"	"Non-non"
"NAGA"	"B3GALNT1"	"24"	"0.999999999999928"	"Sig-non"
"A4GALT"	"HEXA"	"25"	"0.99999999999993"	"Non-non"
"A4GALT"	"HEXB"	"26"	"0.999999999999954"	"Sig-non"
"A4GALT"	"ST3GAL1"	"27"	"0.999999999999977"	"Sig-non"
"A4GALT"	"ST3GAL2"	"28"	"0.999999999999987"	"Non-non"
"A4GALT"	"ST8SIA1"	"29"	"0.999999999999998"	"Non-non"
"A4GALT"	"FUT9"	"30"	"0.999999999999999"	"Sig-non"
"A4GALT"	"FUT1"	"31"	"0.999999999999999"	"Sig-non"
"A4GALT"	"FUT2"	"32"	"0.999999999999999"	"Sig-non"
"A4GALT"	"GLA"	"33"	"1"	"Non-non"
"A4GALT"	"B3GALNT1"	"34"	"1"	"Sig-non"
"HEXA"	"HEXB"	"35"	"1"	"Sig-non"
"HEXA"	"ST3GAL1"	"36"	"1"	"Sig-non"
"HEXA"	"ST3GAL2"	"37"	"1"	"Non-non"
"HEXA"	"ST8SIA1"	"38"	"1"	"Non-non"
"HEXA"	"FUT9"	"39"	"1"	"Sig-non"
"HEXA"	"FUT1"	"40"	"1"	"Sig-non"
"HEXA"	"FUT2"	"41"	"1"	"Sig-non"
"HEXA"	"GLA"	"42"	"1"	"Non-non"
"HEXA"	"B3GALNT1"	"43"	"1"	"Sig-non"
"HEXB"	"ST3GAL1"	"44"	"1"	"Sig-sig"
"HEXB"	"ST3GAL2"	"45"	"1"	"Sig-non"
"HEXB"	"ST8SIA1"	"46"	"1"	"Sig-non"
"HEXB"	"FUT9"	"47"	"1"	"Sig-sig"
"HEXB"	"FUT1"	"48"	"1"	"Sig-sig"
"HEXB"	"FUT2"	"49"	"1"	"Sig-sig"
"HEXB"	"GLA"	"50"	"1"	"Sig-non"
"HEXB"	"B3GALNT1"	"51"	"1"	"Sig-sig"
"ST3GAL1"	"ST3GAL2"	"52"	"1"	"Sig-non"
"ST3GAL1"	"ST8SIA1"	"53"	"1"	"Sig-non"
"ST3GAL1"	"FUT9"	"54"	"1"	"Sig-sig"
"ST3GAL1"	"FUT1"	"55"	"1"	"Sig-sig"
"ST3GAL1"	"FUT2"	"56"	"1"	"Sig-sig"
"ST3GAL1"	"GLA"	"57"	"1"	"Sig-non"
"ST3GAL1"	"B3GALNT1"	"58"	"1"	"Sig-sig"
"ST3GAL2"	"ST8SIA1"	"59"	"1"	"Non-non"
"ST3GAL2"	"FUT9"	"60"	"1"	"Sig-non"
"ST3GAL2"	"FUT1"	"61"	"1"	"Sig-non"
"ST3GAL2"	"FUT2"	"62"	"1"	"Sig-non"
"ST3GAL2"	"GLA"	"63"	"1"	"Non-non"
"ST3GAL2"	"B3GALNT1"	"64"	"1"	"Sig-non"
"ST8SIA1"	"FUT9"	"65"	"1"	"Sig-non"
"ST8SIA1"	"FUT1"	"66"	"1"	"Sig-non"
"ST8SIA1"	"FUT2"	"67"	"1"	"Sig-non"
"ST8SIA1"	"GLA"	"68"	"1"	"Non-non"
"ST8SIA1"	"B3GALNT1"	"69"	"1"	"Sig-non"
"FUT9"	"FUT1"	"70"	"1"	"Sig-sig"
"FUT9"	"FUT2"	"71"	"1"	"Sig-sig"
"FUT9"	"GLA"	"72"	"1"	"Sig-non"
"FUT9"	"B3GALNT1"	"73"	"1"	"Sig-sig"
"FUT1"	"FUT2"	"74"	"1"	"Sig-sig"
"FUT1"	"GLA"	"75"	"1"	"Sig-non"
"FUT1"	"B3GALNT1"	"76"	"1"	"Sig-sig"
"FUT2"	"GLA"	"77"	"1"	"Sig-non"
"FUT2"	"B3GALNT1"	"78"	"1"	"Sig-sig"
"GLA"	"B3GALNT1"	"79"	"Net_72"	"Sig-non"
